Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
Yell_July18_Site1J_S99_R1_001	1.2839619396996447	4.276051817035423
Yell_July18_Site1J_S99_R2_001	3.5079674423936718	26.75684970766938
Yell_July18_Site1L_S101_R1_001	15.892200735176601	45.19138564807416
Yell_July18_Site1L_S101_R2_001	23.35983698257951	44.931676522295035
Yell_July18_Site1U_S114_R1_001	0.49615653389238296	14.80083857442348
Yell_July18_Site1U_S114_R2_001	0.7337526205450734	17.796412764966224
Yell_July18_Site1a_S83_R1_001	6.525090607475794	64.3308570295173
Yell_July18_Site1a_S83_R2_001	21.202600119006835	58.57615535801223
Yell_July18_Site1aa_S130_R1_001	0.0	0.0
Yell_July18_Site1aa_S130_R2_001	0.0	0.0
Yell_July18_Site1b_S84_R1_001	8.240334668806794	44.660212580412775
Yell_July18_Site1b_S84_R2_001	16.982419776803205	46.13829101525473
Yell_July18_Site1bb_S139_R1_001	8.197375315581384	59.49185442766637
Yell_July18_Site1bb_S139_R2_001	20.41692468918211	54.569380269613674
Yell_July18_Site1c_S85_R1_001	14.768922414797666	42.25352112676057
Yell_July18_Site1c_S85_R2_001	21.313984291851497	46.36855884340794
Yell_July18_Site1cc_S140_R1_001	14.176499777125509	47.715886886289155
Yell_July18_Site1cc_S140_R2_001	22.200542187758444	48.133601343414554
Yell_July18_Site1d_S86_R1_001	10.549343151961454	44.66737124414746
Yell_July18_Site1d_S86_R2_001	18.27753534251557	46.46858948134007
Yell_July18_Site1dd_S141_R1_001	10.943180058832636	46.105589100479946
Yell_July18_Site1dd_S141_R2_001	21.828146771946123	45.18996748722712
Yell_July18_Site1e_S91_R1_001	11.22624097399864	36.48933069973772
Yell_July18_Site1e_S91_R2_001	17.76705630929638	37.923776835152026
Yell_July18_Site1ee_S142_R1_001	2.0609994792508397	23.77983084630717
Yell_July18_Site1ee_S142_R2_001	1.977500044892169	29.46587297311857
Yell_July18_Site1f_S92_R1_001	12.664636557511685	67.22207388831245
Yell_July18_Site1f_S92_R2_001	28.198351353086903	60.16175531213773
Yell_July18_Site1g_S93_R1_001	13.817095499662715	36.76833381516816
Yell_July18_Site1g_S93_R2_001	21.715813819022838	38.31984195817674
Yell_July18_Site1h_S94_R1_001	9.115675911295156	55.14629760802049
Yell_July18_Site1h_S94_R2_001	25.636135781616087	46.401133329700855
Yell_July18_Site1k_S100_R1_001	15.654685659757744	31.605099593373623
Yell_July18_Site1k_S100_R2_001	24.468935636116676	36.47859838552995
Yell_July18_Site1m_S102_R1_001	12.40856782063806	39.00192990398132
Yell_July18_Site1m_S102_R2_001	18.191131972075958	44.758881132210334
Yell_July18_Site1n_S103_R1_001	6.8928831633328915	51.31971122002914
Yell_July18_Site1n_S103_R2_001	25.195804080010596	41.083670022519534
Yell_July18_Site1o_S104_R1_001	13.667722126271348	40.65774323546344
Yell_July18_Site1o_S104_R2_001	20.197658798695066	43.05651506428708
