Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
Yell_July18_Site1p_S105_R1_001	12.653522283836516	27.27394088761926
Yell_July18_Site1p_S105_R2_001	16.492746317145578	32.64054593999141
Yell_July18_Site1q_S106_R1_001	36.46830241686687	40.15136596956928
Yell_July18_Site1q_S106_R2_001	44.85250679374582	39.43654575768316
Yell_July18_Site1r_S111_R1_001	17.722158793587365	39.586009228866374
Yell_July18_Site1r_S111_R2_001	30.408282193996477	35.1416440702155
Yell_July18_Site1s_S112_R1_001	7.377183609571851	43.87843848619636
Yell_July18_Site1s_S112_R2_001	14.981984444499666	44.42263250751684
Yell_July18_Site1t_S113_R1_001	12.474548119687622	40.60594235743196
Yell_July18_Site1t_S113_R2_001	27.231385732939113	34.37442154817472
Yell_July18_Site1v_S117_R1_001	15.36311392484277	39.090937535852476
Yell_July18_Site1v_S117_R2_001	17.519999165614994	46.65515910679086
Yell_July18_Site1w_S118_R1_001	16.18062747334664	47.13904773340138
Yell_July18_Site1w_S118_R2_001	24.650667146952436	46.94393163932539
Yell_July18_Site1x_S119_R1_001	0.0	0.0
Yell_July18_Site1x_S119_R2_001	0.0	0.0
Yell_July18_Site1y_S120_R1_001	16.8422121910494	39.628846605590795
Yell_July18_Site1y_S120_R2_001	25.80614441079557	39.81550260620028
Yell_July18_Site1z_S129_R1_001	10.095933904612338	56.522481308251685
Yell_July18_Site1z_S129_R2_001	25.605134683008433	50.25570994503431
Yell_July18_Site5J_S107_R1_001	40.0	60.0
Yell_July18_Site5J_S107_R2_001	50.0	50.0
Yell_July18_Site5L_S109_R1_001	18.133583353754034	37.07369564985776
Yell_July18_Site5L_S109_R2_001	19.957063254456152	41.66622273836286
Yell_July18_Site5a_S87_R1_001	39.566194832450066	36.331649842133785
Yell_July18_Site5a_S87_R2_001	43.25160824267183	38.273373230621694
Yell_July18_Site5aa_S132_R1_001	14.864115896341717	41.53603659884475
Yell_July18_Site5aa_S132_R2_001	21.402186832232868	43.910924870491215
Yell_July18_Site5b_S88_R1_001	19.4273756770064	37.553421959625794
Yell_July18_Site5b_S88_R2_001	29.65780403741999	37.20187099950763
Yell_July18_Site5bb_S133_R1_001	13.872867256915836	43.198314273568414
Yell_July18_Site5bb_S133_R2_001	21.520040306285786	39.38653623104739
Yell_July18_Site5c_S89_R1_001	9.006341810651653	44.751828123988865
Yell_July18_Site5c_S89_R2_001	24.886753381220476	37.53801850773313
Yell_July18_Site5cc_S134_R1_001	14.574888386602655	38.08702108979507
Yell_July18_Site5cc_S134_R2_001	23.81568378383427	43.29198811947771
Yell_July18_Site5d_S90_R1_001	0.0	0.0
Yell_July18_Site5d_S90_R2_001	0.0	0.0
Yell_July18_Site5dd_S135_R1_001	0.0	0.0
Yell_July18_Site5dd_S135_R2_001	0.0	0.0
Yell_July18_Site5e_S95_R1_001	34.308573850343485	45.179303175998605
Yell_July18_Site5e_S95_R2_001	50.3148508217048	38.10969236540449
Yell_July18_Site5ee_S136_R1_001	12.048024440677334	57.9820296442565
Yell_July18_Site5ee_S136_R2_001	27.128779270132817	49.63022298392355
Yell_July18_Site5f_S96_R1_001	19.072106045023425	25.985601645526224
Yell_July18_Site5f_S96_R2_001	33.584733173351616	28.008227631127873
Yell_July18_Site5ff_S137_R1_001	10.56562167969072	40.564844241420495
Yell_July18_Site5ff_S137_R2_001	16.062345837524823	42.86158536154414
Yell_July18_Site5g_S97_R1_001	0.21896049433114992	17.60126922862816
Yell_July18_Site5g_S97_R2_001	0.8739863799150137	21.25401272939823
Yell_July18_Site5gg_S138_R1_001	0.0	0.0
Yell_July18_Site5gg_S138_R2_001	0.0	0.0
Yell_July18_Site5h_S98_R1_001	22.98844177287991	59.0060613770749
Yell_July18_Site5h_S98_R2_001	50.5715504880641	39.3655564301749
Yell_July18_Site5k_S108_R1_001	13.574231313521162	41.721343110768046
Yell_July18_Site5k_S108_R2_001	23.509262832883056	39.62273253570051
Yell_July18_Site5m_S110_R1_001	18.42728487023789	39.499799231342855
Yell_July18_Site5m_S110_R2_001	23.076923076923077	43.284903016446634
Yell_July18_Site5n_S115_R1_001	8.411282393584875	48.920740012447794
Yell_July18_Site5n_S115_R2_001	20.70122583729468	43.75580671639771
Yell_July18_Site5o_S116_R1_001	15.964008417386255	42.02343806690371
Yell_July18_Site5o_S116_R2_001	23.360060953486684	41.60528989188013
Yell_July18_Site5p_S121_R1_001	14.040625766789795	44.57825732304978
Yell_July18_Site5p_S121_R2_001	31.17029530940175	35.01866822290455
Yell_July18_Site5q_S122_R1_001	0.18414115807131054	0.16333068472763507
Yell_July18_Site5q_S122_R2_001	0.4571997931565074	3.847415086962554
Yell_July18_Site5r_S123_R1_001	10.757296576437174	54.9673728252792
Yell_July18_Site5r_S123_R2_001	21.08092150135904	51.238916431676344
Yell_July18_Site5s_S124_R1_001	11.47894953117412	41.92162576114161
Yell_July18_Site5s_S124_R2_001	19.211027681273116	42.54697597967799
Yell_July18_Site5t_S125_R1_001	14.519325480851467	40.65723739700253
Yell_July18_Site5u_S126_R1_001	11.6535994297933	42.88391235371209
Yell_July18_Site5u_S126_R2_001	19.243326512312326	45.66022118501829
Yell_July18_Site5v_S127_R1_001	11.786418506228058	52.250757466455056
Yell_July18_Site5v_S127_R2_001	21.615447506372337	48.60770451594287
Yell_July18_Site5w_S128_R1_001	15.384615384615385	84.61538461538461
Yell_July18_Site5w_S128_R2_001	23.076923076923077	76.92307692307692
Yell_July18_Site5z_S131_R1_001	15.186948309756005	32.53093319970705
Yell_July18_Site5z_S131_R2_001	21.024939289981884	33.82473114134834
