.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
Yell_July18_Site1z_S129_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5J_S107_R1_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5J_S107_R2_001	1	1	0.25	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5L_S109_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5L_S109_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5a_S87_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5a_S87_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5aa_S132_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5aa_S132_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5b_S88_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5b_S88_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5bb_S133_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5bb_S133_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5c_S89_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5c_S89_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5cc_S134_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5cc_S134_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5d_S90_R1_001	1	0	0	0	1	1	1	1	1	1	0.5
Yell_July18_Site5d_S90_R2_001	1	0	0	0	1	1	1	1	1	1	0.5
Yell_July18_Site5dd_S135_R1_001	1	0	0	0	1	1	1	1	1	1	0.5
Yell_July18_Site5dd_S135_R2_001	1	0	0	0	1	1	1	1	1	1	0.5
Yell_July18_Site5e_S95_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5e_S95_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5ee_S136_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5ee_S136_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5f_S96_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5f_S96_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5ff_S137_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5ff_S137_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5g_S97_R1_001	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.5	0.5
Yell_July18_Site5g_S97_R2_001	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.5	0.5
Yell_July18_Site5gg_S138_R1_001	1	0	0	0	1	1	1	1	1	1	0.5
Yell_July18_Site5gg_S138_R2_001	1	0	0	0	1	1	1	1	1	1	0.5
Yell_July18_Site5h_S98_R1_001	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5h_S98_R2_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5k_S108_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5k_S108_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5m_S110_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5m_S110_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5n_S115_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5n_S115_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5o_S116_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5o_S116_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5p_S121_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5p_S121_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5q_S122_R1_001	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.5	0.25
Yell_July18_Site5q_S122_R2_001	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.5	0.25
Yell_July18_Site5r_S123_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5r_S123_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5s_S124_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5s_S124_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5t_S125_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5u_S126_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5u_S126_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5v_S127_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5v_S127_R2_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5w_S128_R1_001	1	1	0.25	1	0.25	0.25	1	1	1	0.25	0.25
Yell_July18_Site5w_S128_R2_001	1	1	0.25	1	0.25	0.25	1	1	0.5	0.25	0.25
Yell_July18_Site5z_S131_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site5z_S131_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
