.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
Yell_July18_Site1J_S99_R1_001	1	0.25	0.5	1	0.25	0.25	1	1	1	0.25	0.25
Yell_July18_Site1J_S99_R2_001	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1L_S101_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1L_S101_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1U_S114_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.5	0.5	0.25
Yell_July18_Site1U_S114_R2_001	1	0.5	0.5	1	0.25	0.25	1	1	0.5	0.5	0.25
Yell_July18_Site1a_S83_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1a_S83_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1aa_S130_R1_001	1	0	0	0	1	1	1	1	1	1	0.5
Yell_July18_Site1aa_S130_R2_001	1	0	0	0	1	1	1	1	1	1	0.5
Yell_July18_Site1b_S84_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1b_S84_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1bb_S139_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1bb_S139_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1c_S85_R1_001	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1c_S85_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1cc_S140_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1cc_S140_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1d_S86_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1d_S86_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1dd_S141_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1dd_S141_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1e_S91_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1e_S91_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1ee_S142_R1_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1ee_S142_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1f_S92_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1f_S92_R2_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1g_S93_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1g_S93_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1h_S94_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1h_S94_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1k_S100_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1k_S100_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1m_S102_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1m_S102_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1n_S103_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1n_S103_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1o_S104_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1o_S104_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1p_S105_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1p_S105_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1q_S106_R1_001	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1q_S106_R2_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1r_S111_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1r_S111_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1s_S112_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1s_S112_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1t_S113_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1t_S113_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1v_S117_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1v_S117_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1w_S118_R1_001	1	0.25	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1w_S118_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1x_S119_R1_001	1	0	0	0	1	1	1	1	1	1	0.5
Yell_July18_Site1x_S119_R2_001	1	0	0	0	1	1	1	1	1	1	0.5
Yell_July18_Site1y_S120_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1y_S120_R2_001	1	1	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
Yell_July18_Site1z_S129_R1_001	1	0.5	0.5	1	0.25	0.25	1	1	0.25	0.25	0.25
