Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Yell_July18_Site1J_S99_R1_001	(1.0, 62.98291872062364)	(2.0, 11.441017998395047)	(3.0, 7.49742061217471)	(4.0, 4.998280408116474)	(5.0, 2.5220680958385877)	(6.0, 2.613779662959991)	(7.0, 1.2839619396996447)	(8.0, 1.1005388054568384)	(9.0, 0.8254041040926287)	('>10', 3.4506477129427946)	('>50', 0.0)	('>100', 1.2839619396996447)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Yell_July18_Site1J_S99_R2_001	(1.0, 37.590278573885136)	(2.0, 9.538002980625931)	(3.0, 6.224922618365241)	(4.0, 4.493866788948756)	(5.0, 3.8404218732087583)	(6.0, 3.9206694944399865)	(7.0, 1.925942909549467)	(8.0, 2.2010776109136767)	(9.0, 2.063510260231572)	('>10', 18.13596239825748)	('>50', 2.6023157170698155)	('>100', 7.463028774504184)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Yell_July18_Site1L_S101_R1_001	(1.0, 13.698657503595973)	(2.0, 3.615950135847851)	(3.0, 2.295429119386287)	(4.0, 2.061690906185073)	(5.0, 1.8079750679239255)	(6.0, 1.2825635288476906)	(7.0, 1.2865590538596772)	(8.0, 1.1666933035000797)	(9.0, 1.1147514783442545)	('>10', 10.58614351925843)	('>50', 2.8168451334505353)	('>100', 9.894917692184753)	('>500', 7.853204411059614)	('>1k', 14.022295029566886)	('>5k', 26.496324116988973)	('>10k+', 0.0)
Yell_July18_Site1L_S101_R2_001	(1.0, 11.153508070960525)	(2.0, 2.9207287837621863)	(3.0, 1.7979862553939587)	(4.0, 1.3584785040754355)	(5.0, 1.138724628416174)	(6.0, 0.9948857279846571)	(7.0, 0.8110915774332748)	(8.0, 0.6552661019657983)	(9.0, 0.5034361515103084)	('>10', 10.374380693623142)	('>50', 1.9997602684992808)	('>100', 4.690746364072239)	('>500', 2.744925683234777)	('>1k', 12.751718075755154)	('>5k', 0.0)	('>10k+', 46.10436311331309)
Yell_July18_Site1U_S114_R1_001	(1.0, 53.19124155602143)	(2.0, 6.978802702073142)	(3.0, 2.983927323549965)	(4.0, 2.348008385744235)	(5.0, 1.8518518518518516)	(6.0, 1.4395527603074771)	(7.0, 1.2392266480316794)	(8.0, 0.913114372233869)	(9.0, 0.7127882599580713)	('>10', 15.590496156533892)	('>50', 8.127183787561146)	('>100', 4.6238061961332395)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Yell_July18_Site1U_S114_R2_001	(1.0, 48.84696016771489)	(2.0, 7.081295131609597)	(3.0, 3.284416491963662)	(4.0, 1.9659911483810855)	(5.0, 1.6655019799673887)	(6.0, 1.4814814814814816)	(7.0, 1.1740041928721174)	(8.0, 1.397624039133473)	(9.0, 1.1949685534591197)	('>10', 15.27603074772886)	('>50', 6.489634288376426)	('>100', 10.142091777311903)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
Yell_July18_Site1a_S83_R1_001	(1.0, 7.03672983645576)	(2.0, 2.2935862529075535)	(3.0, 1.4821760219261075)	(4.0, 1.193674606466038)	(5.0, 0.9601687733280441)	(6.0, 0.7681350186624353)	(7.0, 0.6468742674768748)	(8.0, 0.6491281847851565)	(9.0, 0.6491281847851565)	('>10', 7.838673614742422)	('>50', 2.1597035647956146)	('>100', 7.435673200021638)	('>500', 6.926287888349952)	('>1k', 19.845291115959537)	('>5k', 10.267494906146883)	('>10k+', 29.847274563190823)
Yell_July18_Site1a_S83_R2_001	(1.0, 4.838709677419355)	(2.0, 1.2865359995672478)	(3.0, 0.906074757929281)	(4.0, 0.7591193494293081)	(5.0, 0.6356046809354658)	(6.0, 0.5382354532176924)	(7.0, 0.3944355289493139)	(8.0, 0.3822643754845922)	(9.0, 0.3813628085612795)	('>10', 5.467101822968319)	('>50', 1.822066752015002)	('>100', 4.211219098793703)	('>500', 1.8950936728033323)	('>1k', 7.812077390504697)	('>5k', 7.7083971943237355)	('>10k+', 60.96170143709767)
Yell_July18_Site1aa_S130_R1_001	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
Yell_July18_Site1aa_S130_R2_001	(1.0, nan)	(2.0, nan)	(3.0, nan)	(4.0, nan)	(5.0, nan)	(6.0, nan)	(7.0, nan)	(8.0, nan)	(9.0, nan)	('>10', nan)	('>50', nan)	('>100', nan)	('>500', nan)	('>1k', nan)	('>5k', nan)	('>10k+', nan)
Yell_July18_Site1b_S84_R1_001	(1.0, 13.977604489212997)	(2.0, 3.5324747544961643)	(3.0, 1.9943632066529327)	(4.0, 1.2714381406165085)	(5.0, 1.080596034022977)	(6.0, 0.7621045713635732)	(7.0, 0.7166057909836584)	(8.0, 0.5662070447278288)	(9.0, 0.6085461875813607)	('>10', 17.00011374695095)	('>50', 3.5628072747494413)	('>100', 7.353108451398456)	('>500', 5.278490451575395)	('>1k', 13.892294276000658)	('>5k', 20.162910910860308)	('>10k+', 8.240334668806794)
Yell_July18_Site1b_S84_R2_001	(1.0, 10.02805758123428)	(2.0, 2.6882196074466336)	(3.0, 1.7384325670159118)	(4.0, 1.248688750426551)	(5.0, 0.947891257914892)	(6.0, 0.8720599572817006)	(7.0, 0.7431467462052753)	(8.0, 0.7431467462052753)	(9.0, 0.5118612792740417)	('>10', 9.183170506679474)	('>50', 5.272803104027906)	('>100', 5.469964485674204)	('>500', 2.043653552064507)	('>1k', 11.065050617393172)	('>5k', 0.0)	('>10k+', 47.44385324115618)
Yell_July18_Site1bb_S139_R1_001	(1.0, 8.579050159577003)	(2.0, 2.6770828371361883)	(3.0, 1.7666603153432097)	(4.0, 1.2813795074548657)	(5.0, 1.104534844948316)	(6.0, 0.9181631972562283)	(7.0, 0.8336112037345782)	(8.0, 0.766922307435812)	(9.0, 0.6323536416900871)	('>10', 9.173295860524936)	('>50', 2.5002381746296383)	('>100', 8.054470537798315)	('>500', 2.955747153813176)	('>1k', 19.7571809650836)	('>5k', 9.198304196636974)	('>10k+', 29.80100509693707)
Yell_July18_Site1bb_S139_R2_001	(1.0, 6.565283665983899)	(2.0, 1.712475587100462)	(3.0, 1.2504168056018674)	(4.0, 0.9336445481827277)	(5.0, 0.916972324108036)	(6.0, 0.7895488972514648)	(7.0, 0.6793931310436813)	(8.0, 0.5525651407612061)	(9.0, 0.5466107750202448)	('>10', 7.655528033153909)	('>50', 2.599676082503692)	('>100', 2.0292478445196016)	('>500', 1.7708283713618826)	('>1k', 14.394083742199781)	('>5k', 0.0)	('>10k+', 57.60372505120755)
Yell_July18_Site1c_S85_R1_001	(1.0, 11.602433131608182)	(2.0, 2.709694460197478)	(3.0, 1.689674727904104)	(4.0, 1.2926982745896227)	(5.0, 1.1885987741118527)	(6.0, 0.9881683925949519)	(7.0, 0.9190276795910599)	(8.0, 0.7333576750075744)	(9.0, 0.7900685969096433)	('>10', 14.092275661692161)	('>50', 5.987275001359508)	('>100', 5.29431414743286)	('>500', 8.75834155512224)	('>1k', 29.1851495070811)	('>5k', 0.0)	('>10k+', 14.768922414797666)
Yell_July18_Site1c_S85_R2_001	(1.0, 8.428952090923922)	(2.0, 2.1301554500749673)	(3.0, 1.3866985697971612)	(4.0, 1.0689620347568034)	(5.0, 0.8972755451628691)	(6.0, 0.7411262944462139)	(7.0, 0.7667627385937246)	(8.0, 0.6587789283966347)	(9.0, 0.6782004769932335)	('>10', 10.012196732518666)	('>50', 4.550857267155054)	('>100', 5.695951772410525)	('>500', 3.163381835414029)	('>1k', 7.323477544805512)	('>5k', 4.1290212316369255)	('>10k+', 48.36820148691376)
Yell_July18_Site1cc_S140_R1_001	(1.0, 7.519981609350075)	(2.0, 2.030260468793366)	(3.0, 1.3406110966266054)	(4.0, 0.9128042096646231)	(5.0, 0.8284202824198283)	(6.0, 0.6459155095415513)	(7.0, 0.5632136539361878)	(8.0, 0.4866793943420717)	(9.0, 0.4844366321561635)	('>10', 10.067479107268513)	('>50', 6.948077251943493)	('>100', 8.37335262108813)	('>500', 3.9352066004491135)	('>1k', 13.927272829216463)	('>5k', 13.65842171218072)	('>10k+', 28.27786702102309)
Yell_July18_Site1cc_S140_R2_001	(1.0, 5.774551938167047)	(2.0, 1.4112581054827125)	(3.0, 0.9310266524251268)	(4.0, 0.7165625183976586)	(5.0, 0.5817164419699302)	(6.0, 0.518078064944786)	(7.0, 0.5298525664208038)	(8.0, 0.43958138843800026)	(9.0, 0.3380963995256558)	('>10', 7.178521066545558)	('>50', 3.8169008951424575)	('>100', 8.022640684266744)	('>500', 1.376495291601136)	('>1k', 4.386001799816654)	('>5k', 7.541568195389442)	('>10k+', 56.43714799146628)
Yell_July18_Site1d_S86_R1_001	(1.0, 11.500522751034138)	(2.0, 2.6603481976453476)	(3.0, 1.4318832674212463)	(4.0, 1.068230374107914)	(5.0, 0.8437883540160916)	(6.0, 0.8523114687031229)	(7.0, 0.7994681576435292)	(8.0, 0.831855993454248)	(9.0, 0.721055502522842)	('>10', 15.41717805354789)	('>50', 5.64116550752307)	('>100', 6.998045365698441)	('>500', 6.6855311605072965)	('>1k', 8.432769671348698)	('>5k', 15.69616800763671)	('>10k+', 20.419678167189417)
Yell_July18_Site1d_S86_R2_001	(1.0, 8.620846402109187)	(2.0, 2.1955543433792446)	(3.0, 1.2665348424928407)	(4.0, 1.0045911177780809)	(5.0, 0.9204963861993727)	(6.0, 0.6375289785899358)	(7.0, 0.735828901313696)	(8.0, 0.5591163234692486)	(9.0, 0.6596890767762171)	('>10', 10.318082640120005)	('>50', 5.620141824628392)	('>100', 7.340106368471294)	('>500', 2.746147552161462)	('>1k', 10.687417609891359)	('>5k', 0.0)	('>10k+', 46.687917632619666)
