Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Yell_July18_Site1dd_S141_R1_001	(1.0, 9.13144449605202)	(2.0, 2.3161480105279453)	(3.0, 1.4482117974918718)	(4.0, 1.2299117510450535)	(5.0, 1.0713732775971514)	(6.0, 0.89921040408732)	(7.0, 0.8084842854931104)	(8.0, 0.7035144759250658)	(9.0, 0.6242452392011147)	('>10', 10.773184703514476)	('>50', 5.906487072302214)	('>100', 9.889456572224804)	('>500', 3.0840687412912215)	('>1k', 16.906951540486144)	('>5k', 11.627806161944573)	('>10k+', 23.579501470815917)
Yell_July18_Site1dd_S141_R2_001	(1.0, 6.178665428084843)	(2.0, 1.5940548072457035)	(3.0, 1.0051091500232234)	(4.0, 0.6997987304536306)	(5.0, 0.6007121845486917)	(6.0, 0.5276358569437993)	(7.0, 0.45517882025081285)	(8.0, 0.4285493110388605)	(9.0, 0.3845796562935439)	('>10', 9.354698869794085)	('>50', 4.632605666511844)	('>100', 9.055891004799504)	('>500', 1.0506270320483047)	('>1k', 5.8674717448521445)	('>5k', 4.874438767611085)	('>10k+', 53.289982969499924)
Yell_July18_Site1e_S91_R1_001	(1.0, 17.093546611404335)	(2.0, 6.5602434996600065)	(3.0, 4.80847067966195)	(4.0, 3.84677654372956)	(5.0, 3.335168215523103)	(6.0, 2.4285205452838134)	(7.0, 1.9946248745264386)	(8.0, 1.7355826830294983)	(9.0, 1.573681313343911)	('>10', 11.044911439950782)	('>50', 3.4193569277596083)	('>100', 7.962309361137196)	('>500', 6.281773143800796)	('>1k', 27.915034161189006)	('>5k', 0.0)	('>10k+', 0.0)
Yell_July18_Site1e_S91_R2_001	(1.0, 13.96237412168507)	(2.0, 4.559142570346145)	(3.0, 3.8176342971861543)	(4.0, 2.9919373117896577)	(5.0, 2.768513421623547)	(6.0, 2.0205290936761324)	(7.0, 1.9719586827704563)	(8.0, 1.4765404915325584)	(9.0, 1.4862545737136936)	('>10', 11.43023669980248)	('>50', 1.078263122106013)	('>100', 5.802545089531457)	('>500', 4.785804487905968)	('>1k', 24.08120972703429)	('>5k', 17.76705630929638)	('>10k+', 0.0)
Yell_July18_Site1ee_S142_R1_001	(1.0, 15.48824723015317)	(2.0, 3.894844583310887)	(3.0, 2.2531379626138017)	(4.0, 1.5927741564761444)	(5.0, 1.297383684390095)	(6.0, 0.9939126218822388)	(7.0, 0.920738386395877)	(8.0, 0.933757115408788)	(9.0, 0.8282605182351991)	('>10', 34.410745389574245)	('>50', 10.763795363536785)	('>100', 0.99525938695254)	('>500', 2.1709852933254323)	('>1k', 23.456158307744797)	('>5k', 0.0)	('>10k+', 0.0)
Yell_July18_Site1ee_S142_R2_001	(1.0, 12.740846486738851)	(2.0, 3.2843110847743717)	(3.0, 1.962236707428756)	(4.0, 1.5317208066224928)	(5.0, 1.2143331717215249)	(6.0, 1.2632656359424663)	(7.0, 1.0810034297617124)	(8.0, 1.0091759593456517)	(9.0, 0.8686634703442331)	('>10', 21.27799026737776)	('>50', 14.160336870836252)	('>100', 10.393434969203973)	('>500', 3.9532044030239364)	('>1k', 25.259476736878018)	('>5k', 0.0)	('>10k+', 0.0)
Yell_July18_Site1f_S92_R1_001	(1.0, 3.267889914458275)	(2.0, 1.0477255905285607)	(3.0, 0.7158331615288682)	(4.0, 0.5245387472581697)	(5.0, 0.5120336353712159)	(6.0, 0.39948762838863183)	(7.0, 0.35487479679193185)	(8.0, 0.4244978521625394)	(9.0, 0.3376380209477523)	('>10', 5.199422736997218)	('>50', 2.411458738200413)	('>100', 7.9840069758245775)	('>500', 3.4774350325639873)	('>1k', 11.86261951676192)	('>5k', 18.28889512266839)	('>10k+', 43.19164252954755)
Yell_July18_Site1f_S92_R2_001	(1.0, 2.0312357416376288)	(2.0, 0.5002044754781516)	(3.0, 0.3477773008560932)	(4.0, 0.26767698958020003)	(5.0, 0.27376055752520456)	(6.0, 0.18250703835013637)	(7.0, 0.21765654203238488)	(8.0, 0.16493228650901212)	(9.0, 0.17642347040513182)	('>10', 3.463915992686199)	('>50', 1.4272726350974554)	('>100', 3.6839383666971974)	('>500', 1.4276106110944)	('>1k', 6.466832725539833)	('>5k', 9.599194265223284)	('>10k+', 69.7690610012877)
Yell_July18_Site1g_S93_R1_001	(1.0, 8.570396068227812)	(2.0, 1.7702611544762454)	(3.0, 1.023417172593235)	(4.0, 0.9289775464970608)	(5.0, 0.8215283800713116)	(6.0, 0.8904307603353571)	(7.0, 0.849956634865568)	(8.0, 0.9405415823455718)	(9.0, 0.9280138768430183)	('>10', 25.68516912402428)	('>50', 4.747036715813819)	('>100', 5.481352992194275)	('>500', 1.8550640840319939)	('>1k', 13.408017731521635)	('>5k', 4.4849185699142335)	('>10k+', 27.61491760624458)
Yell_July18_Site1g_S93_R2_001	(1.0, 7.553724583212874)	(2.0, 1.7153319841958177)	(3.0, 1.0537727666955767)	(4.0, 0.7767177411583309)	(5.0, 0.6842054543702419)	(6.0, 0.5753107834634288)	(7.0, 0.5767562879444926)	(8.0, 0.543509684880023)	(9.0, 0.5854293148308759)	('>10', 15.880312228967911)	('>50', 5.72082490122386)	('>100', 8.411390575310783)	('>500', 2.192830297773923)	('>1k', 3.0158041823262987)	('>5k', 8.85997879926761)	('>10k+', 41.85410041437795)
Yell_July18_Site1h_S94_R1_001	(1.0, 11.040429357598212)	(2.0, 4.318095134310467)	(3.0, 2.8891734321364355)	(4.0, 2.2939029041573584)	(5.0, 1.4643382553261048)	(6.0, 1.34855337002125)	(7.0, 0.95352258486351)	(8.0, 0.6320492562523838)	(9.0, 0.4903830436440909)	('>10', 8.696125973955212)	('>50', 2.729798942952106)	('>100', 10.108701574674441)	('>500', 4.463847872282461)	('>1k', 31.06712798997439)	('>5k', 17.503950307851575)	('>10k+', 0.0)
Yell_July18_Site1h_S94_R2_001	(1.0, 8.354220018525583)	(2.0, 2.718901541982237)	(3.0, 1.937013022394159)	(4.0, 1.6019179425706969)	(5.0, 1.3349316188089142)	(6.0, 1.1524001525636136)	(7.0, 0.8677055522257942)	(8.0, 0.8390998746798889)	(9.0, 0.588459652372909)	('>10', 6.943006592927587)	('>50', 2.426033890917016)	('>100', 4.271781180188524)	('>500', 6.592927586770555)	('>1k', 9.385386585299406)	('>5k', 8.015038413338418)	('>10k+', 42.9711763744347)
Yell_July18_Site1k_S100_R1_001	(1.0, 13.968862563723425)	(2.0, 3.352733337345151)	(3.0, 1.8981628740661778)	(4.0, 1.5302218821729152)	(5.0, 1.3410933349380605)	(6.0, 1.248248411750041)	(7.0, 1.0892084970298221)	(8.0, 0.9422040353154578)	(9.0, 0.9593975396095356)	('>10', 20.36054778504681)	('>50', 5.955829887468514)	('>100', 5.432287681713849)	('>500', 3.540142534150598)	('>1k', 15.863586736930788)	('>5k', 6.862787238981113)	('>10k+', 15.654685659757744)
Yell_July18_Site1k_S100_R2_001	(1.0, 9.368740489842937)	(2.0, 2.874753917969791)	(3.0, 1.7460003610635901)	(4.0, 1.2654419160441184)	(5.0, 1.0831907705268948)	(6.0, 0.866552616421516)	(7.0, 0.7341626333571177)	(8.0, 0.7358819837865255)	(9.0, 0.6731256931131419)	('>10', 10.774309465883789)	('>50', 7.4473663849797545)	('>100', 9.779665242471394)	('>500', 1.5517137625405122)	('>1k', 7.204078299218556)	('>5k', 8.142843633675199)	('>10k+', 35.75217282910516)
Yell_July18_Site1m_S102_R1_001	(1.0, 12.499106525934573)	(2.0, 3.216506635534059)	(3.0, 1.924543136927879)	(4.0, 1.365228371971123)	(5.0, 1.1525815443997045)	(6.0, 1.0328560196326033)	(7.0, 0.9464868599747444)	(8.0, 0.8863262729027186)	(9.0, 0.7719615925281742)	('>10', 15.092563913178147)	('>50', 6.080388839913273)	('>100', 7.584999166090872)	('>500', 5.252436205951729)	('>1k', 18.262609897310046)	('>5k', 3.1104810464368255)	('>10k+', 20.820923971313526)
Yell_July18_Site1m_S102_R2_001	(1.0, 8.924614614853112)	(2.0, 2.350432441447666)	(3.0, 1.5189059112244168)	(4.0, 1.1698553763312765)	(5.0, 1.0453646565485692)	(6.0, 0.7540921112196517)	(7.0, 0.7713659431512234)	(8.0, 0.7719615925281742)	(9.0, 0.6861880822472659)	('>10', 11.049295942436444)	('>50', 5.169640942555574)	('>100', 7.343761168425818)	('>500', 1.785161182721403)	('>1k', 4.03254628195659)	('>5k', 8.239617831359748)	('>10k+', 44.387195920993065)
Yell_July18_Site1n_S103_R1_001	(1.0, 10.863193800503378)	(2.0, 2.949894025698768)	(3.0, 1.6690952444032323)	(4.0, 1.1839316465757053)	(5.0, 0.9459034309180023)	(6.0, 0.8419989402569876)	(7.0, 0.7678997218174592)	(8.0, 0.8875347728175917)	(9.0, 0.5886541263743542)	('>10', 15.181232613591202)	('>50', 2.666743939594648)	('>100', 5.8430752417538745)	('>500', 5.045784209829116)	('>1k', 15.996324016426017)	('>5k', 9.641591601536627)	('>10k+', 24.92714266790303)
Yell_July18_Site1n_S103_R2_001	(1.0, 8.067293681282289)	(2.0, 2.2006225990197374)	(3.0, 1.2990131143197776)	(4.0, 1.008411710160286)	(5.0, 0.8299940389455557)	(6.0, 0.6358458073917075)	(7.0, 0.6461948602463903)	(8.0, 0.5795469598622334)	(9.0, 0.4731586965160949)	('>10', 8.828570009272752)	('>50', 5.137269837064512)	('>100', 4.8392171148496494)	('>500', 2.010200026493575)	('>1k', 6.139472115511988)	('>5k', 2.20641806861836)	('>10k+', 55.098771360445085)
Yell_July18_Site1o_S104_R1_001	(1.0, 13.008059873344848)	(2.0, 3.441757819996162)	(3.0, 1.8724812895797354)	(4.0, 1.3759355210132411)	(5.0, 1.1250239877182882)	(6.0, 0.9355210132412205)	(7.0, 0.8563615428900403)	(8.0, 0.7253886010362695)	(9.0, 0.5872193436960277)	('>10', 12.435712914987526)	('>50', 6.315006716561121)	('>100', 6.8542506236806755)	('>500', 5.694204567261562)	('>1k', 16.52082133947419)	('>5k', 14.584532719247745)	('>10k+', 13.667722126271348)
Yell_July18_Site1o_S104_R2_001	(1.0, 9.505373248896564)	(2.0, 2.4246785645749376)	(3.0, 1.6234887737478412)	(4.0, 1.266551525618883)	(5.0, 0.9763001343312224)	(6.0, 0.8088658606793322)	(7.0, 0.6347150259067357)	(8.0, 0.6371137977355594)	(9.0, 0.6044905008635579)	('>10', 10.184225676453655)	('>50', 4.930435616964115)	('>100', 5.861638840913452)	('>500', 1.7405488389944348)	('>1k', 2.7537900594895417)	('>5k', 6.197946651314527)	('>10k+', 49.84983688351564)
Yell_July18_Site1p_S105_R1_001	(1.0, 6.663173047830909)	(2.0, 1.9476260173793514)	(3.0, 1.135140724762489)	(4.0, 0.8102496170286133)	(5.0, 0.682696399469963)	(6.0, 0.5708802813674752)	(7.0, 0.48968717048401045)	(8.0, 0.4240396840603555)	(9.0, 0.39444680858264525)	('>10', 10.093699043082443)	('>50', 11.660435773278941)	('>100', 23.47501671439431)	('>500', 1.4076282003337464)	('>1k', 6.374080621882518)	('>5k', 6.014190050803907)	('>10k+', 27.857009845258307)
Yell_July18_Site1p_S105_R2_001	(1.0, 5.74049179409623)	(2.0, 1.3775462573983832)	(3.0, 0.7900632946843668)	(4.0, 0.5627438899157937)	(5.0, 0.4583730092048021)	(6.0, 0.4150562930599899)	(7.0, 0.3659515674303105)	(8.0, 0.32786273082021694)	(9.0, 0.2982691984540413)	('>10', 8.515842342090032)	('>50', 6.591142478388319)	('>100', 21.47491551373252)	('>500', 3.851826957187401)	('>1k', 4.536119046285405)	('>5k', 2.875240389103605)	('>10k+', 41.81855523814858)
Yell_July18_Site1q_S106_R1_001	(1.0, 8.20697622517165)	(2.0, 1.7027030575138171)	(3.0, 0.8782639517939428)	(4.0, 0.7351686293043467)	(5.0, 0.5579404775970488)	(6.0, 0.42534756409751484)	(7.0, 0.3997479421842385)	(8.0, 0.30456986071180076)	(9.0, 0.3662715135284156)	('>10', 5.348351778189122)	('>50', 2.9662741391306633)	('>100', 7.0412088272747555)	('>500', 5.996875533325457)	('>1k', 18.561038688249116)	('>5k', 0.0)	('>10k+', 46.50926181192811)
Yell_July18_Site1q_S106_R2_001	(1.0, 6.097961219854804)	(2.0, 1.0056056607984456)	(3.0, 0.5395612618644402)	(4.0, 0.4043427461173907)	(5.0, 0.32163627532065164)	(6.0, 0.330825883186956)	(7.0, 0.28028303992228215)	(8.0, 0.23630420227639715)	(9.0, 0.21858138710566738)	('>10', 3.813687264516298)	('>50', 1.543854121539128)	('>100', 3.662058734722277)	('>500', 0.9616268231525607)	('>1k', 5.148806007377942)	('>5k', 0.0)	('>10k+', 75.43486537224476)
Yell_July18_Site1r_S111_R1_001	(1.0, 9.241353884211028)	(2.0, 2.5236668093810954)	(3.0, 1.436063936063936)	(4.0, 1.0418153275296134)	(5.0, 0.894938394938395)	(6.0, 0.7456828885400314)	(7.0, 0.7242757242757243)	(8.0, 0.6422149279292136)	(9.0, 0.6368631368631369)	('>10', 17.233361876219018)	('>50', 5.749012891870034)	('>100', 5.498667998667998)	('>500', 3.739118024832311)	('>1k', 14.743589743589745)	('>5k', 5.251296322724895)	('>10k+', 29.898078112363823)
Yell_July18_Site1r_S111_R2_001	(1.0, 7.357523428952001)	(2.0, 1.8291232576946863)	(3.0, 1.14706721849579)	(4.0, 0.8824508824508824)	(5.0, 0.856286570572285)	(6.0, 0.6957328385899815)	(7.0, 0.5494505494505495)	(8.0, 0.5518291232576947)	(9.0, 0.5030683602112174)	('>10', 10.588815945958803)	('>50', 5.087769373483659)	('>100', 8.454640597497741)	('>500', 1.904048332619761)	('>1k', 4.455068740783027)	('>5k', 0.0)	('>10k+', 55.137124779981924)
Yell_July18_Site1s_S112_R1_001	(1.0, 11.745645205377333)	(2.0, 3.186641154983475)	(3.0, 1.8457868449171286)	(4.0, 1.3855825857913178)	(5.0, 1.0933578510548418)	(6.0, 0.8587828939194395)	(7.0, 0.852322142981388)	(8.0, 0.8826379743060905)	(9.0, 0.7737991700419949)	('>10', 15.95954575951097)	('>50', 7.298660636632458)	('>100', 7.366250031061303)	('>500', 2.304997142360162)	('>1k', 17.800859776855603)	('>5k', 13.818552294809036)	('>10k+', 12.82657853539746)
Yell_July18_Site1s_S112_R2_001	(1.0, 8.976467957160251)	(2.0, 2.205600974082449)	(3.0, 1.3597395820391123)	(4.0, 1.0615510772059737)	(5.0, 0.8970504187063589)	(6.0, 0.8319459284844569)	(7.0, 0.6853365802748304)	(8.0, 0.763362572372835)	(9.0, 0.670924135874562)	('>10', 12.121859702308475)	('>50', 5.808215093308153)	('>100', 6.720671918097558)	('>500', 2.248838307283254)	('>1k', 3.1816713465695896)	('>5k', 10.394354297641826)	('>10k+', 42.07241010859031)
Yell_July18_Site1t_S113_R1_001	(1.0, 11.62606872883179)	(2.0, 2.9556699535237407)	(3.0, 1.7409836557655076)	(4.0, 1.194674991370124)	(5.0, 0.9855568396143821)	(6.0, 0.8194629965930751)	(7.0, 0.8089570607393176)	(8.0, 0.7404183363600434)	(9.0, 0.7519248375332063)	('>10', 15.915992535782717)	('>50', 6.467654224636919)	('>100', 6.584720367007359)	('>500', 4.786204205376037)	('>1k', 11.359918353869936)	('>5k', 14.534712112343474)	('>10k+', 18.727080800652367)
Yell_July18_Site1t_S113_R2_001	(1.0, 8.347216177140083)	(2.0, 2.1011871707514747)	(3.0, 1.4333098200483274)	(4.0, 1.1326399415669854)	(5.0, 1.0030667327039777)	(6.0, 0.8014528208437767)	(7.0, 0.6898897877300675)	(8.0, 0.6843866784733375)	(9.0, 0.6213510633507933)	('>10', 10.963694487385373)	('>50', 5.131899523230625)	('>100', 7.719361439213156)	('>500', 1.3637705303496477)	('>1k', 7.686843066332477)	('>5k', 4.843736711241851)	('>10k+', 45.476194049638046)
Yell_July18_Site1v_S117_R1_001	(1.0, 9.04890539117012)	(2.0, 2.577206687595824)	(3.0, 1.9587188018231312)	(4.0, 1.6833717498096559)	(5.0, 1.4758184795419227)	(6.0, 1.505021954755473)	(7.0, 1.4090676790538075)	(8.0, 1.2056863338165813)	(9.0, 1.2578353966979214)	('>10', 16.59331031821358)	('>50', 3.590462979380261)	('>100', 6.33871859322688)	('>500', 4.672034543539253)	('>1k', 10.88768134836617)	('>5k', 13.708424159617852)	('>10k+', 22.087735583391567)
Yell_July18_Site1v_S117_R2_001	(1.0, 7.231510549755421)	(2.0, 1.9764494832027868)	(3.0, 1.40333128213686)	(4.0, 1.2745230968199501)	(5.0, 1.0612334296352695)	(6.0, 0.9073936941353163)	(7.0, 0.9235599036285317)	(8.0, 0.7926657557963684)	(9.0, 0.7462530898319757)	('>10', 11.889464846316713)	('>50', 4.998487677176441)	('>100', 3.8788472971140706)	('>500', 2.0630169275858115)	('>1k', 3.6446980047768545)	('>5k', 11.773693926720137)	('>10k+', 45.43487103536749)
Yell_July18_Site1w_S118_R1_001	(1.0, 7.826156563155077)	(2.0, 2.0131978527223695)	(3.0, 1.2217269275218756)	(4.0, 0.9385584422731525)	(5.0, 0.840500097558047)	(6.0, 0.8855268884986566)	(7.0, 0.6548896593473117)	(8.0, 0.6043595939584052)	(9.0, 0.6303750731685352)	('>10', 10.646334569068596)	('>50', 6.170171251894877)	('>100', 9.616221651882869)	('>500', 2.938748555390457)	('>1k', 16.089573296111187)	('>5k', 17.698030328045185)	('>10k+', 21.225629249403394)
