Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
Yell_July18_Site1J_S99_R1_001	Yell_July18_Site1J_S99_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8723.0	2.6 Mbp	0.0	301.0	39.0	73.97684282930184	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	pass	fail	fail
Yell_July18_Site1J_S99_R2_001	Yell_July18_Site1J_S99_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	8723.0	2.6 Mbp	0.0	301.0	40.0	48.95104895104895	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	fail
Yell_July18_Site1L_S101_R1_001	Yell_July18_Site1L_S101_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50056.0	15 Mbp	0.0	301.0	54.0	18.55721591817165	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	fail
Yell_July18_Site1L_S101_R2_001	Yell_July18_Site1L_S101_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50056.0	15 Mbp	0.0	301.0	54.0	14.807415694422247	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
Yell_July18_Site1U_S114_R1_001	Yell_July18_Site1U_S114_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42930.0	12.9 Mbp	0.0	301.0	47.0	60.07686932215234	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	warn	warn	fail
Yell_July18_Site1U_S114_R2_001	Yell_July18_Site1U_S114_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42930.0	12.9 Mbp	0.0	301.0	47.0	55.97251339389704	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	warn	warn	fail
Yell_July18_Site1a_S83_R1_001	Yell_July18_Site1a_S83_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	221836.0	66.7 Mbp	0.0	301.0	58.0	10.06374078147821	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	fail
Yell_July18_Site1a_S83_R2_001	Yell_July18_Site1a_S83_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	221836.0	66.7 Mbp	0.0	301.0	58.0	6.679258551362268	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
Yell_July18_Site1aa_S130_R1_001	Yell_July18_Site1aa_S130_R1_001.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0			pass				pass	pass	pass	pass	pass	pass	warn
Yell_July18_Site1aa_S130_R2_001	Yell_July18_Site1aa_S130_R2_001.fastq.gz	null	Illumina 1.5	0.0	0 bp	0.0	0.0	0.0	100.0			pass				pass	pass	pass	pass	pass	pass	warn
Yell_July18_Site1b_S84_R1_001	Yell_July18_Site1b_S84_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	158246.0	47.6 Mbp	0.0	301.0	53.0	18.187505529365673	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	fail
Yell_July18_Site1b_S84_R2_001	Yell_July18_Site1b_S84_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	158246.0	47.6 Mbp	0.0	301.0	53.0	13.432251052159296	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
Yell_July18_Site1bb_S139_R1_001	Yell_July18_Site1bb_S139_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	167944.0	50.5 Mbp	0.0	301.0	61.0	12.076049159243556	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	fail
Yell_July18_Site1bb_S139_R2_001	Yell_July18_Site1bb_S139_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	167944.0	50.5 Mbp	0.0	301.0	60.0	9.081598628114133	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
Yell_July18_Site1c_S85_R1_001	Yell_July18_Site1c_S85_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	128723.0	38.7 Mbp	0.0	301.0	53.0	15.382643350450193	301.0	301	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	fail
Yell_July18_Site1c_S85_R2_001	Yell_July18_Site1c_S85_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	128723.0	38.7 Mbp	0.0	301.0	53.0	11.390349820933322	301.0	301	pass	pass	warn	pass	fail	fail	pass	pass	fail	fail	fail
Yell_July18_Site1cc_S140_R1_001	Yell_July18_Site1cc_S140_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	356703.0	107.3 Mbp	0.0	301.0	55.0	10.300165684056484	301.0	301	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	fail
