Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
Yell_July18_Site1J_S99_R1_001	(15.0, 1.0)	(16.0, 34.0)	(17.0, 119.0)	(18.0, 141.0)	(19.0, 147.0)	(20.0, 178.0)	(21.0, 173.0)	(22.0, 206.0)	(23.0, 319.0)	(24.0, 391.0)	(25.0, 541.0)	(26.0, 649.0)	(27.0, 958.0)	(28.0, 1094.0)	(29.0, 1253.0)	(30.0, 1186.0)	(31.0, 891.0)	(32.0, 387.0)	(33.0, 55.0)			
Yell_July18_Site1J_S99_R2_001	(15.0, 10.0)	(16.0, 15.0)	(17.0, 20.0)	(18.0, 58.0)	(19.0, 61.0)	(20.0, 26.0)	(21.0, 33.0)	(22.0, 37.0)	(23.0, 46.0)	(24.0, 60.0)	(25.0, 51.0)	(26.0, 92.0)	(27.0, 110.0)	(28.0, 228.0)	(29.0, 510.0)	(30.0, 1145.0)	(31.0, 2742.0)	(32.0, 2859.0)	(33.0, 617.0)	(34.0, 3.0)		
Yell_July18_Site1L_S101_R1_001	(16.0, 8.0)	(17.0, 41.0)	(18.0, 93.0)	(19.0, 173.0)	(20.0, 209.0)	(21.0, 261.0)	(22.0, 312.0)	(23.0, 347.0)	(24.0, 369.0)	(25.0, 414.0)	(26.0, 580.0)	(27.0, 726.0)	(28.0, 1029.0)	(29.0, 1569.0)	(30.0, 2537.0)	(31.0, 5807.0)	(32.0, 17869.0)	(33.0, 17712.0)				
Yell_July18_Site1L_S101_R2_001	(15.0, 24.0)	(16.0, 87.0)	(17.0, 133.0)	(18.0, 252.0)	(19.0, 252.0)	(20.0, 267.0)	(21.0, 386.0)	(22.0, 451.0)	(23.0, 500.0)	(24.0, 481.0)	(25.0, 650.0)	(26.0, 733.0)	(27.0, 1025.0)	(28.0, 1293.0)	(29.0, 1990.0)	(30.0, 3753.0)	(31.0, 7242.0)	(32.0, 15489.0)	(33.0, 15046.0)	(34.0, 2.0)		
Yell_July18_Site1U_S114_R1_001	(15.0, 3.0)	(16.0, 53.0)	(17.0, 103.0)	(18.0, 132.0)	(19.0, 184.0)	(20.0, 221.0)	(21.0, 242.0)	(22.0, 338.0)	(23.0, 349.0)	(24.0, 391.0)	(25.0, 511.0)	(26.0, 616.0)	(27.0, 791.0)	(28.0, 1128.0)	(29.0, 1833.0)	(30.0, 3788.0)	(31.0, 8627.0)	(32.0, 16119.0)	(33.0, 7501.0)			
Yell_July18_Site1U_S114_R2_001	(14.0, 3.0)	(15.0, 20.0)	(16.0, 72.0)	(17.0, 136.0)	(18.0, 238.0)	(19.0, 282.0)	(20.0, 291.0)	(21.0, 314.0)	(22.0, 306.0)	(23.0, 353.0)	(24.0, 459.0)	(25.0, 540.0)	(26.0, 686.0)	(27.0, 924.0)	(28.0, 1353.0)	(29.0, 2241.0)	(30.0, 4717.0)	(31.0, 9768.0)	(32.0, 12566.0)	(33.0, 7654.0)	(34.0, 7.0)	
Yell_July18_Site1a_S83_R1_001	(15.0, 10.0)	(16.0, 58.0)	(17.0, 259.0)	(18.0, 585.0)	(19.0, 974.0)	(20.0, 1518.0)	(21.0, 1733.0)	(22.0, 1897.0)	(23.0, 2023.0)	(24.0, 2363.0)	(25.0, 3020.0)	(26.0, 4518.0)	(27.0, 7194.0)	(28.0, 11870.0)	(29.0, 22500.0)	(30.0, 65140.0)	(31.0, 72912.0)	(32.0, 19698.0)	(33.0, 3564.0)			
Yell_July18_Site1a_S83_R2_001	(14.0, 17.0)	(15.0, 112.0)	(16.0, 275.0)	(17.0, 425.0)	(18.0, 802.0)	(19.0, 947.0)	(20.0, 1104.0)	(21.0, 1512.0)	(22.0, 1845.0)	(23.0, 2126.0)	(24.0, 2246.0)	(25.0, 2444.0)	(26.0, 2842.0)	(27.0, 3647.0)	(28.0, 4840.0)	(29.0, 7221.0)	(30.0, 12007.0)	(31.0, 24239.0)	(32.0, 70007.0)	(33.0, 83173.0)	(34.0, 5.0)	
Yell_July18_Site1b_S84_R1_001	(15.0, 4.0)	(16.0, 47.0)	(17.0, 205.0)	(18.0, 398.0)	(19.0, 719.0)	(20.0, 936.0)	(21.0, 1163.0)	(22.0, 1201.0)	(23.0, 1317.0)	(24.0, 1478.0)	(25.0, 1887.0)	(26.0, 2507.0)	(27.0, 3522.0)	(28.0, 5230.0)	(29.0, 7828.0)	(30.0, 15009.0)	(31.0, 34783.0)	(32.0, 58180.0)	(33.0, 21832.0)			
Yell_July18_Site1b_S84_R2_001	(14.0, 9.0)	(15.0, 84.0)	(16.0, 196.0)	(17.0, 389.0)	(18.0, 540.0)	(19.0, 661.0)	(20.0, 881.0)	(21.0, 1154.0)	(22.0, 1416.0)	(23.0, 1584.0)	(24.0, 1743.0)	(25.0, 1911.0)	(26.0, 2226.0)	(27.0, 2883.0)	(28.0, 4209.0)	(29.0, 6813.0)	(30.0, 12334.0)	(31.0, 24848.0)	(32.0, 49825.0)	(33.0, 44539.0)	(34.0, 1.0)	
