Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
Yell_July18_Site1bb_S139_R1_001	(15.0, 12.0)	(16.0, 96.0)	(17.0, 356.0)	(18.0, 706.0)	(19.0, 1081.0)	(20.0, 1466.0)	(21.0, 1711.0)	(22.0, 1901.0)	(23.0, 1999.0)	(24.0, 2119.0)	(25.0, 2535.0)	(26.0, 3165.0)	(27.0, 4119.0)	(28.0, 5478.0)	(29.0, 7847.0)	(30.0, 12016.0)	(31.0, 23714.0)	(32.0, 58159.0)	(33.0, 39464.0)			
Yell_July18_Site1bb_S139_R2_001	(14.0, 6.0)	(15.0, 101.0)	(16.0, 256.0)	(17.0, 495.0)	(18.0, 737.0)	(19.0, 918.0)	(20.0, 1311.0)	(21.0, 1591.0)	(22.0, 1870.0)	(23.0, 2169.0)	(24.0, 2143.0)	(25.0, 2420.0)	(26.0, 2735.0)	(27.0, 3425.0)	(28.0, 4348.0)	(29.0, 6113.0)	(30.0, 9507.0)	(31.0, 16596.0)	(32.0, 45173.0)	(33.0, 66021.0)	(34.0, 9.0)	
Yell_July18_Site1c_S85_R1_001	(14.0, 1.0)	(15.0, 2.0)	(16.0, 31.0)	(17.0, 145.0)	(18.0, 323.0)	(19.0, 595.0)	(20.0, 885.0)	(21.0, 951.0)	(22.0, 990.0)	(23.0, 1077.0)	(24.0, 1235.0)	(25.0, 1686.0)	(26.0, 2636.0)	(27.0, 4451.0)	(28.0, 8765.0)	(29.0, 25484.0)	(30.0, 46900.0)	(31.0, 7476.0)	(32.0, 15621.0)	(33.0, 9469.0)		
Yell_July18_Site1c_S85_R2_001	(13.0, 1.0)	(14.0, 6.0)	(15.0, 69.0)	(16.0, 160.0)	(17.0, 207.0)	(18.0, 350.0)	(19.0, 455.0)	(20.0, 613.0)	(21.0, 841.0)	(22.0, 1008.0)	(23.0, 1128.0)	(24.0, 1259.0)	(25.0, 1364.0)	(26.0, 1597.0)	(27.0, 2038.0)	(28.0, 2796.0)	(29.0, 4427.0)	(30.0, 7699.0)	(31.0, 16978.0)	(32.0, 40716.0)	(33.0, 45007.0)	(34.0, 4.0)
Yell_July18_Site1cc_S140_R1_001	(15.0, 16.0)	(16.0, 70.0)	(17.0, 344.0)	(18.0, 730.0)	(19.0, 1210.0)	(20.0, 1710.0)	(21.0, 2122.0)	(22.0, 2207.0)	(23.0, 2394.0)	(24.0, 2671.0)	(25.0, 3056.0)	(26.0, 3831.0)	(27.0, 5162.0)	(28.0, 6892.0)	(29.0, 9985.0)	(30.0, 17119.0)	(31.0, 36402.0)	(32.0, 112292.0)	(33.0, 148490.0)			
Yell_July18_Site1cc_S140_R2_001	(14.0, 16.0)	(15.0, 238.0)	(16.0, 379.0)	(17.0, 661.0)	(18.0, 938.0)	(19.0, 1185.0)	(20.0, 1674.0)	(21.0, 2282.0)	(22.0, 2776.0)	(23.0, 3209.0)	(24.0, 3430.0)	(25.0, 3814.0)	(26.0, 4548.0)	(27.0, 5673.0)	(28.0, 7858.0)	(29.0, 11812.0)	(30.0, 21251.0)	(31.0, 44770.0)	(32.0, 110212.0)	(33.0, 129946.0)	(34.0, 31.0)	
Yell_July18_Site1d_S86_R1_001	(15.0, 2.0)	(16.0, 56.0)	(17.0, 197.0)	(18.0, 366.0)	(19.0, 724.0)	(20.0, 997.0)	(21.0, 1188.0)	(22.0, 1270.0)	(23.0, 1330.0)	(24.0, 1504.0)	(25.0, 1738.0)	(26.0, 2057.0)	(27.0, 2672.0)	(28.0, 3827.0)	(29.0, 5369.0)	(30.0, 8857.0)	(31.0, 19451.0)	(32.0, 60594.0)	(33.0, 63793.0)			
Yell_July18_Site1d_S86_R2_001	(14.0, 10.0)	(15.0, 117.0)	(16.0, 247.0)	(17.0, 397.0)	(18.0, 608.0)	(19.0, 747.0)	(20.0, 1052.0)	(21.0, 1413.0)	(22.0, 1611.0)	(23.0, 1698.0)	(24.0, 1844.0)	(25.0, 2008.0)	(26.0, 2441.0)	(27.0, 3154.0)	(28.0, 4400.0)	(29.0, 6723.0)	(30.0, 12637.0)	(31.0, 26711.0)	(32.0, 55138.0)	(33.0, 53036.0)		
Yell_July18_Site1dd_S141_R1_001	(15.0, 9.0)	(16.0, 99.0)	(17.0, 577.0)	(18.0, 1167.0)	(19.0, 1724.0)	(20.0, 2222.0)	(21.0, 2491.0)	(22.0, 2702.0)	(23.0, 3157.0)	(24.0, 3556.0)	(25.0, 4586.0)	(26.0, 6369.0)	(27.0, 8736.0)	(28.0, 12168.0)	(29.0, 18348.0)	(30.0, 32549.0)	(31.0, 69111.0)	(32.0, 114612.0)	(33.0, 38767.0)			
Yell_July18_Site1dd_S141_R2_001	(14.0, 2.0)	(15.0, 151.0)	(16.0, 359.0)	(17.0, 465.0)	(18.0, 1244.0)	(19.0, 1401.0)	(20.0, 1042.0)	(21.0, 1348.0)	(22.0, 1768.0)	(23.0, 2131.0)	(24.0, 2390.0)	(25.0, 2874.0)	(26.0, 3403.0)	(27.0, 4594.0)	(28.0, 6994.0)	(29.0, 11651.0)	(30.0, 22894.0)	(31.0, 48938.0)	(32.0, 111219.0)	(33.0, 98074.0)	(34.0, 8.0)	
Yell_July18_Site1e_S91_R1_001	(15.0, 2.0)	(16.0, 14.0)	(17.0, 49.0)	(18.0, 87.0)	(19.0, 156.0)	(20.0, 201.0)	(21.0, 301.0)	(22.0, 328.0)	(23.0, 338.0)	(24.0, 372.0)	(25.0, 443.0)	(26.0, 642.0)	(27.0, 864.0)	(28.0, 1184.0)	(29.0, 2009.0)	(30.0, 4236.0)	(31.0, 8849.0)	(32.0, 8559.0)	(33.0, 2249.0)			
Yell_July18_Site1e_S91_R2_001	(15.0, 21.0)	(16.0, 35.0)	(17.0, 57.0)	(18.0, 80.0)	(19.0, 114.0)	(20.0, 153.0)	(21.0, 216.0)	(22.0, 232.0)	(23.0, 288.0)	(24.0, 282.0)	(25.0, 305.0)	(26.0, 448.0)	(27.0, 542.0)	(28.0, 734.0)	(29.0, 1105.0)	(30.0, 1924.0)	(31.0, 4085.0)	(32.0, 8856.0)	(33.0, 11403.0)	(34.0, 3.0)		
Yell_July18_Site1ee_S142_R1_001	(14.0, 1.0)	(15.0, 18.0)	(16.0, 143.0)	(17.0, 363.0)	(18.0, 622.0)	(19.0, 1004.0)	(20.0, 1454.0)	(21.0, 1876.0)	(22.0, 2177.0)	(23.0, 2485.0)	(24.0, 2732.0)	(25.0, 3384.0)	(26.0, 4912.0)	(27.0, 8960.0)	(28.0, 7051.0)	(29.0, 9241.0)	(30.0, 15741.0)	(31.0, 35785.0)	(32.0, 79404.0)	(33.0, 45403.0)		
Yell_July18_Site1ee_S142_R2_001	(14.0, 10.0)	(15.0, 111.0)	(16.0, 242.0)	(17.0, 461.0)	(18.0, 1013.0)	(19.0, 1050.0)	(20.0, 760.0)	(21.0, 827.0)	(22.0, 963.0)	(23.0, 1089.0)	(24.0, 1260.0)	(25.0, 1641.0)	(26.0, 2029.0)	(27.0, 2808.0)	(28.0, 4133.0)	(29.0, 7004.0)	(30.0, 14328.0)	(31.0, 29161.0)	(32.0, 48822.0)	(33.0, 104880.0)	(34.0, 164.0)	
Yell_July18_Site1f_S92_R1_001	(15.0, 5.0)	(16.0, 73.0)	(17.0, 326.0)	(18.0, 685.0)	(19.0, 1066.0)	(20.0, 1607.0)	(21.0, 1949.0)	(22.0, 2092.0)	(23.0, 2216.0)	(24.0, 2447.0)	(25.0, 2902.0)	(26.0, 3839.0)	(27.0, 5053.0)	(28.0, 6792.0)	(29.0, 9803.0)	(30.0, 15677.0)	(31.0, 32025.0)	(32.0, 96032.0)	(33.0, 111290.0)			
Yell_July18_Site1f_S92_R2_001	(14.0, 8.0)	(15.0, 133.0)	(16.0, 266.0)	(17.0, 444.0)	(18.0, 606.0)	(19.0, 929.0)	(20.0, 1332.0)	(21.0, 1896.0)	(22.0, 2293.0)	(23.0, 2744.0)	(24.0, 2877.0)	(25.0, 3283.0)	(26.0, 3870.0)	(27.0, 4853.0)	(28.0, 6563.0)	(29.0, 9539.0)	(30.0, 15501.0)	(31.0, 30476.0)	(32.0, 96726.0)	(33.0, 111539.0)	(34.0, 1.0)	
Yell_July18_Site1g_S93_R1_001	(15.0, 6.0)	(16.0, 59.0)	(17.0, 210.0)	(18.0, 437.0)	(19.0, 722.0)	(20.0, 1032.0)	(21.0, 1333.0)	(22.0, 1517.0)	(23.0, 1625.0)	(24.0, 1816.0)	(25.0, 2070.0)	(26.0, 2617.0)	(27.0, 3452.0)	(28.0, 4788.0)	(29.0, 6936.0)	(30.0, 11800.0)	(31.0, 26649.0)	(32.0, 74061.0)	(33.0, 66410.0)			
Yell_July18_Site1g_S93_R2_001	(13.0, 1.0)	(14.0, 17.0)	(15.0, 127.0)	(16.0, 275.0)	(17.0, 456.0)	(18.0, 700.0)	(19.0, 833.0)	(20.0, 1113.0)	(21.0, 1399.0)	(22.0, 1641.0)	(23.0, 1847.0)	(24.0, 1954.0)	(25.0, 2270.0)	(26.0, 2682.0)	(27.0, 3519.0)	(28.0, 4817.0)	(29.0, 7558.0)	(30.0, 13484.0)	(31.0, 27094.0)	(32.0, 59183.0)	(33.0, 76566.0)	(34.0, 4.0)
Yell_July18_Site1h_S94_R1_001	(15.0, 2.0)	(16.0, 14.0)	(17.0, 74.0)	(18.0, 160.0)	(19.0, 305.0)	(20.0, 508.0)	(21.0, 583.0)	(22.0, 601.0)	(23.0, 646.0)	(24.0, 695.0)	(25.0, 855.0)	(26.0, 1117.0)	(27.0, 1817.0)	(28.0, 2906.0)	(29.0, 4847.0)	(30.0, 10844.0)	(31.0, 23705.0)	(32.0, 19971.0)	(33.0, 3762.0)			
Yell_July18_Site1h_S94_R2_001	(14.0, 1.0)	(15.0, 41.0)	(16.0, 104.0)	(17.0, 148.0)	(18.0, 244.0)	(19.0, 300.0)	(20.0, 390.0)	(21.0, 535.0)	(22.0, 630.0)	(23.0, 747.0)	(24.0, 761.0)	(25.0, 819.0)	(26.0, 958.0)	(27.0, 1175.0)	(28.0, 1687.0)	(29.0, 2331.0)	(30.0, 4278.0)	(31.0, 8609.0)	(32.0, 21191.0)	(33.0, 28455.0)	(34.0, 8.0)	
Yell_July18_Site1k_S100_R1_001	(15.0, 5.0)	(16.0, 33.0)	(17.0, 202.0)	(18.0, 430.0)	(19.0, 731.0)	(20.0, 946.0)	(21.0, 938.0)	(22.0, 986.0)	(23.0, 1063.0)	(24.0, 1223.0)	(25.0, 1564.0)	(26.0, 2128.0)	(27.0, 2953.0)	(28.0, 4459.0)	(29.0, 6829.0)	(30.0, 12492.0)	(31.0, 26699.0)	(32.0, 41861.0)	(33.0, 10781.0)			
Yell_July18_Site1k_S100_R2_001	(14.0, 4.0)	(15.0, 49.0)	(16.0, 131.0)	(17.0, 148.0)	(18.0, 549.0)	(19.0, 532.0)	(20.0, 354.0)	(21.0, 445.0)	(22.0, 570.0)	(23.0, 705.0)	(24.0, 764.0)	(25.0, 799.0)	(26.0, 1133.0)	(27.0, 1375.0)	(28.0, 2242.0)	(29.0, 3809.0)	(30.0, 8514.0)	(31.0, 19332.0)	(32.0, 37848.0)	(33.0, 37020.0)		
Yell_July18_Site1m_S102_R1_001	(15.0, 4.0)	(16.0, 58.0)	(17.0, 270.0)	(18.0, 575.0)	(19.0, 840.0)	(20.0, 1133.0)	(21.0, 1299.0)	(22.0, 1379.0)	(23.0, 1453.0)	(24.0, 1658.0)	(25.0, 2145.0)	(26.0, 2881.0)	(27.0, 3846.0)	(28.0, 5465.0)	(29.0, 7977.0)	(30.0, 13738.0)	(31.0, 31203.0)	(32.0, 62834.0)	(33.0, 29126.0)			
Yell_July18_Site1m_S102_R2_001	(14.0, 8.0)	(15.0, 96.0)	(16.0, 232.0)	(17.0, 377.0)	(18.0, 581.0)	(19.0, 714.0)	(20.0, 830.0)	(21.0, 1120.0)	(22.0, 1310.0)	(23.0, 1512.0)	(24.0, 1612.0)	(25.0, 1898.0)	(26.0, 2296.0)	(27.0, 3048.0)	(28.0, 4402.0)	(29.0, 7261.0)	(30.0, 13532.0)	(31.0, 28023.0)	(32.0, 57068.0)	(33.0, 41964.0)		
Yell_July18_Site1n_S103_R1_001	(15.0, 4.0)	(16.0, 76.0)	(17.0, 279.0)	(18.0, 574.0)	(19.0, 1025.0)	(20.0, 1597.0)	(21.0, 1890.0)	(22.0, 1938.0)	(23.0, 2033.0)	(24.0, 2174.0)	(25.0, 2684.0)	(26.0, 3859.0)	(27.0, 5668.0)	(28.0, 8733.0)	(29.0, 13885.0)	(30.0, 29308.0)	(31.0, 66932.0)	(32.0, 75925.0)	(33.0, 22984.0)			
Yell_July18_Site1n_S103_R2_001	(14.0, 13.0)	(15.0, 163.0)	(16.0, 351.0)	(17.0, 650.0)	(18.0, 1162.0)	(19.0, 1323.0)	(20.0, 1588.0)	(21.0, 1950.0)	(22.0, 2420.0)	(23.0, 2753.0)	(24.0, 2896.0)	(25.0, 3257.0)	(26.0, 3782.0)	(27.0, 4644.0)	(28.0, 6398.0)	(29.0, 9546.0)	(30.0, 16557.0)	(31.0, 33077.0)	(32.0, 72046.0)	(33.0, 76986.0)	(34.0, 6.0)	
Yell_July18_Site1o_S104_R1_001	(15.0, 8.0)	(16.0, 60.0)	(17.0, 204.0)	(18.0, 456.0)	(19.0, 793.0)	(20.0, 1076.0)	(21.0, 1365.0)	(22.0, 1463.0)	(23.0, 1542.0)	(24.0, 1724.0)	(25.0, 2007.0)	(26.0, 2805.0)	(27.0, 3685.0)	(28.0, 5275.0)	(29.0, 7792.0)	(30.0, 13925.0)	(31.0, 32599.0)	(32.0, 79543.0)	(33.0, 52118.0)			
Yell_July18_Site1o_S104_R2_001	(14.0, 16.0)	(15.0, 149.0)	(16.0, 293.0)	(17.0, 471.0)	(18.0, 893.0)	(19.0, 1014.0)	(20.0, 1164.0)	(21.0, 1580.0)	(22.0, 1859.0)	(23.0, 2033.0)	(24.0, 2181.0)	(25.0, 2506.0)	(26.0, 2947.0)	(27.0, 3786.0)	(28.0, 5101.0)	(29.0, 7954.0)	(30.0, 14617.0)	(31.0, 31245.0)	(32.0, 69643.0)	(33.0, 58988.0)		
Yell_July18_Site1p_S105_R1_001	(14.0, 1.0)	(15.0, 77.0)	(16.0, 800.0)	(17.0, 2297.0)	(18.0, 4243.0)	(19.0, 6690.0)	(20.0, 9838.0)	(21.0, 11772.0)	(22.0, 12636.0)	(23.0, 12913.0)	(24.0, 14703.0)	(25.0, 19132.0)	(26.0, 27277.0)	(27.0, 41687.0)	(28.0, 71803.0)	(29.0, 157374.0)	(30.0, 414811.0)	(31.0, 102530.0)	(32.0, 109753.0)	(33.0, 50843.0)		
Yell_July18_Site1p_S105_R2_001	(13.0, 1.0)	(14.0, 73.0)	(15.0, 655.0)	(16.0, 1386.0)	(17.0, 2258.0)	(18.0, 3188.0)	(19.0, 4229.0)	(20.0, 5488.0)	(21.0, 7096.0)	(22.0, 8316.0)	(23.0, 9238.0)	(24.0, 9882.0)	(25.0, 10910.0)	(26.0, 12815.0)	(27.0, 16303.0)	(28.0, 22597.0)	(29.0, 34429.0)	(30.0, 61778.0)	(31.0, 130339.0)	(32.0, 292761.0)	(33.0, 437365.0)	(34.0, 73.0)
Yell_July18_Site1q_S106_R1_001	(14.0, 1.0)	(15.0, 10.0)	(16.0, 52.0)	(17.0, 200.0)	(18.0, 496.0)	(19.0, 918.0)	(20.0, 1270.0)	(21.0, 1432.0)	(22.0, 1429.0)	(23.0, 1430.0)	(24.0, 1620.0)	(25.0, 2027.0)	(26.0, 2796.0)	(27.0, 4056.0)	(28.0, 6242.0)	(29.0, 10128.0)	(30.0, 21556.0)	(31.0, 41597.0)	(32.0, 45851.0)	(33.0, 9235.0)		
Yell_July18_Site1q_S106_R2_001	(14.0, 10.0)	(15.0, 80.0)	(16.0, 163.0)	(17.0, 199.0)	(18.0, 280.0)	(19.0, 430.0)	(20.0, 769.0)	(21.0, 1210.0)	(22.0, 1333.0)	(23.0, 1450.0)	(24.0, 1453.0)	(25.0, 1566.0)	(26.0, 1819.0)	(27.0, 2354.0)	(28.0, 3188.0)	(29.0, 4671.0)	(30.0, 7497.0)	(31.0, 14951.0)	(32.0, 45166.0)	(33.0, 63751.0)	(34.0, 6.0)	
Yell_July18_Site1r_S111_R1_001	(15.0, 4.0)	(16.0, 41.0)	(17.0, 133.0)	(18.0, 286.0)	(19.0, 453.0)	(20.0, 723.0)	(21.0, 888.0)	(22.0, 933.0)	(23.0, 1167.0)	(24.0, 1227.0)	(25.0, 1359.0)	(26.0, 1681.0)	(27.0, 2312.0)	(28.0, 3130.0)	(29.0, 4697.0)	(30.0, 7875.0)	(31.0, 17230.0)	(32.0, 53375.0)	(33.0, 70654.0)			
Yell_July18_Site1r_S111_R2_001	(14.0, 7.0)	(15.0, 119.0)	(16.0, 251.0)	(17.0, 365.0)	(18.0, 968.0)	(19.0, 1027.0)	(20.0, 835.0)	(21.0, 1005.0)	(22.0, 1252.0)	(23.0, 1418.0)	(24.0, 1583.0)	(25.0, 1762.0)	(26.0, 2047.0)	(27.0, 2715.0)	(28.0, 4017.0)	(29.0, 6314.0)	(30.0, 11679.0)	(31.0, 24534.0)	(32.0, 50987.0)	(33.0, 55283.0)		
Yell_July18_Site1s_S112_R1_001	(15.0, 7.0)	(16.0, 54.0)	(17.0, 250.0)	(18.0, 523.0)	(19.0, 856.0)	(20.0, 1275.0)	(21.0, 1423.0)	(22.0, 1521.0)	(23.0, 1675.0)	(24.0, 1799.0)	(25.0, 2322.0)	(26.0, 3096.0)	(27.0, 4085.0)	(28.0, 5637.0)	(29.0, 8274.0)	(30.0, 14378.0)	(31.0, 33448.0)	(32.0, 76768.0)	(33.0, 43824.0)			
Yell_July18_Site1s_S112_R2_001	(14.0, 11.0)	(15.0, 145.0)	(16.0, 307.0)	(17.0, 553.0)	(18.0, 1427.0)	(19.0, 1447.0)	(20.0, 1168.0)	(21.0, 1387.0)	(22.0, 1725.0)	(23.0, 1972.0)	(24.0, 2156.0)	(25.0, 2332.0)	(26.0, 2881.0)	(27.0, 3664.0)	(28.0, 5427.0)	(29.0, 8536.0)	(30.0, 15638.0)	(31.0, 32629.0)	(32.0, 65280.0)	(33.0, 52530.0)		
Yell_July18_Site1t_S113_R1_001	(15.0, 4.0)	(16.0, 66.0)	(17.0, 245.0)	(18.0, 576.0)	(19.0, 984.0)	(20.0, 1294.0)	(21.0, 1494.0)	(22.0, 1609.0)	(23.0, 1636.0)	(24.0, 1896.0)	(25.0, 2544.0)	(26.0, 3673.0)	(27.0, 5893.0)	(28.0, 9945.0)	(29.0, 19453.0)	(30.0, 59838.0)	(31.0, 43788.0)	(32.0, 29672.0)	(33.0, 15277.0)			
Yell_July18_Site1t_S113_R2_001	(14.0, 10.0)	(15.0, 144.0)	(16.0, 402.0)	(17.0, 706.0)	(18.0, 2602.0)	(19.0, 2520.0)	(20.0, 1226.0)	(21.0, 1500.0)	(22.0, 1794.0)	(23.0, 1864.0)	(24.0, 2153.0)	(25.0, 2314.0)	(26.0, 2745.0)	(27.0, 3408.0)	(28.0, 4897.0)	(29.0, 7493.0)	(30.0, 13566.0)	(31.0, 28491.0)	(32.0, 59779.0)	(33.0, 62272.0)	(34.0, 1.0)	
Yell_July18_Site1v_S117_R1_001	(14.0, 1.0)	(15.0, 7.0)	(16.0, 67.0)	(17.0, 220.0)	(18.0, 397.0)	(19.0, 611.0)	(20.0, 931.0)	(21.0, 1157.0)	(22.0, 1316.0)	(23.0, 1399.0)	(24.0, 1580.0)	(25.0, 1819.0)	(26.0, 2239.0)	(27.0, 2940.0)	(28.0, 4259.0)	(29.0, 5963.0)	(30.0, 9863.0)	(31.0, 20709.0)	(32.0, 64073.0)	(33.0, 72206.0)	(34.0, 1.0)	
Yell_July18_Site1v_S117_R2_001	(14.0, 14.0)	(15.0, 115.0)	(16.0, 240.0)	(17.0, 383.0)	(18.0, 602.0)	(19.0, 658.0)	(20.0, 875.0)	(21.0, 1160.0)	(22.0, 1440.0)	(23.0, 1707.0)	(24.0, 1831.0)	(25.0, 2052.0)	(26.0, 2458.0)	(27.0, 3194.0)	(28.0, 4398.0)	(29.0, 6681.0)	(30.0, 12159.0)	(31.0, 24915.0)	(32.0, 58625.0)	(33.0, 68115.0)	(34.0, 136.0)	
Yell_July18_Site1w_S118_R1_001	(15.0, 6.0)	(16.0, 67.0)	(17.0, 291.0)	(18.0, 647.0)	(19.0, 1122.0)	(20.0, 1500.0)	(21.0, 1659.0)	(22.0, 1706.0)	(23.0, 1849.0)	(24.0, 2224.0)	(25.0, 2804.0)	(26.0, 4559.0)	(27.0, 7506.0)	(28.0, 14405.0)	(29.0, 40091.0)	(30.0, 79506.0)	(31.0, 12164.0)	(32.0, 18225.0)	(33.0, 9550.0)			
Yell_July18_Site1w_S118_R2_001	(14.0, 9.0)	(15.0, 128.0)	(16.0, 270.0)	(17.0, 466.0)	(18.0, 701.0)	(19.0, 865.0)	(20.0, 1209.0)	(21.0, 1611.0)	(22.0, 1922.0)	(23.0, 2067.0)	(24.0, 2253.0)	(25.0, 2457.0)	(26.0, 2852.0)	(27.0, 3654.0)	(28.0, 4896.0)	(29.0, 7205.0)	(30.0, 12637.0)	(31.0, 25956.0)	(32.0, 61390.0)	(33.0, 67332.0)	(34.0, 1.0)	
Yell_July18_Site1y_S120_R1_001	(15.0, 2.0)	(16.0, 42.0)	(17.0, 163.0)	(18.0, 369.0)	(19.0, 570.0)	(20.0, 927.0)	(21.0, 1041.0)	(22.0, 1112.0)	(23.0, 1193.0)	(24.0, 1350.0)	(25.0, 1690.0)	(26.0, 2341.0)	(27.0, 3326.0)	(28.0, 4765.0)	(29.0, 7301.0)	(30.0, 14463.0)	(31.0, 32513.0)	(32.0, 58963.0)	(33.0, 25378.0)			
Yell_July18_Site1y_S120_R2_001	(14.0, 8.0)	(15.0, 87.0)	(16.0, 234.0)	(17.0, 428.0)	(18.0, 545.0)	(19.0, 665.0)	(20.0, 913.0)	(21.0, 1182.0)	(22.0, 1351.0)	(23.0, 1585.0)	(24.0, 1706.0)	(25.0, 1901.0)	(26.0, 2409.0)	(27.0, 3084.0)	(28.0, 4337.0)	(29.0, 6743.0)	(30.0, 12127.0)	(31.0, 24637.0)	(32.0, 49834.0)	(33.0, 43732.0)	(34.0, 1.0)	
