.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
Site5L_S109_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5L_S109_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5a_S87_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5a_S87_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5aa_S132_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5aa_S132_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5b_S88_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.5
Site5b_S88_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
Site5bb_S133_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5bb_S133_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5c_S89_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5c_S89_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5cc_S134_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5cc_S134_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5e_S95_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5e_S95_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5ee_S136_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5ee_S136_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5f_S96_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5f_S96_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5ff_S137_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5ff_S137_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5g_S97_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5g_S97_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5h_S98_L001_R1_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5h_S98_L001_R2_001	1	0.25	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5k_S108_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5k_S108_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5m_S110_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5m_S110_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5n_S115_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5n_S115_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5o_S116_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5o_S116_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5p_S121_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5p_S121_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5q_S122_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
Site5q_S122_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.25
Site5r_S123_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5r_S123_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5s_S124_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.5
Site5s_S124_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5u_S126_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5u_S126_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5v_S127_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5v_S127_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5w_S128_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	1	0.25	1
Site5w_S128_L001_R2_001	1	1	0.25	1	0.25	0.25	1	0.5	1	0.25	1
Site5z_S131_L001_R1_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
Site5z_S131_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
