Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
Yell_July18_Site1J_S99_L001_R1	(15.0, 4.0)	(16.0, 86.0)	(17.0, 137.0)	(18.0, 146.0)	(19.0, 132.0)	(20.0, 128.0)	(21.0, 175.0)	(22.0, 214.0)	(23.0, 304.0)	(24.0, 348.0)	(25.0, 490.0)	(26.0, 630.0)	(27.0, 883.0)	(28.0, 1048.0)	(29.0, 1180.0)	(30.0, 1134.0)	(31.0, 897.0)	(32.0, 460.0)	(33.0, 146.0)	(34.0, 9.0)
Yell_July18_Site1J_S99_L001_R2	(15.0, 6.0)	(16.0, 14.0)	(17.0, 52.0)	(18.0, 56.0)	(19.0, 29.0)	(20.0, 27.0)	(21.0, 34.0)	(22.0, 38.0)	(23.0, 36.0)	(24.0, 52.0)	(25.0, 63.0)	(26.0, 85.0)	(27.0, 118.0)	(28.0, 243.0)	(29.0, 541.0)	(30.0, 1222.0)	(31.0, 2691.0)	(32.0, 2428.0)	(33.0, 782.0)	(34.0, 34.0)
Yell_July18_Site1L_S101_L001_R1	(16.0, 32.0)	(17.0, 109.0)	(18.0, 172.0)	(19.0, 154.0)	(20.0, 185.0)	(21.0, 218.0)	(22.0, 204.0)	(23.0, 230.0)	(24.0, 261.0)	(25.0, 321.0)	(26.0, 370.0)	(27.0, 442.0)	(28.0, 573.0)	(29.0, 917.0)	(30.0, 1629.0)	(31.0, 3622.0)	(32.0, 8589.0)	(33.0, 26941.0)	(34.0, 4796.0)	
Yell_July18_Site1L_S101_L001_R2	(15.0, 21.0)	(16.0, 79.0)	(17.0, 196.0)	(18.0, 250.0)	(19.0, 276.0)	(20.0, 329.0)	(21.0, 287.0)	(22.0, 318.0)	(23.0, 404.0)	(24.0, 460.0)	(25.0, 525.0)	(26.0, 615.0)	(27.0, 779.0)	(28.0, 1032.0)	(29.0, 1691.0)	(30.0, 3037.0)	(31.0, 5493.0)	(32.0, 7933.0)	(33.0, 24117.0)	(34.0, 1923.0)
Yell_July18_Site1U_S114_L001_R1	(15.0, 8.0)	(16.0, 59.0)	(17.0, 111.0)	(18.0, 129.0)	(19.0, 163.0)	(20.0, 180.0)	(21.0, 180.0)	(22.0, 193.0)	(23.0, 210.0)	(24.0, 245.0)	(25.0, 329.0)	(26.0, 363.0)	(27.0, 506.0)	(28.0, 723.0)	(29.0, 1193.0)	(30.0, 2241.0)	(31.0, 5714.0)	(32.0, 15070.0)	(33.0, 12461.0)	(34.0, 2396.0)
Yell_July18_Site1U_S114_L001_R2	(15.0, 12.0)	(16.0, 97.0)	(17.0, 189.0)	(18.0, 265.0)	(19.0, 291.0)	(20.0, 272.0)	(21.0, 303.0)	(22.0, 276.0)	(23.0, 328.0)	(24.0, 414.0)	(25.0, 451.0)	(26.0, 611.0)	(27.0, 849.0)	(28.0, 1288.0)	(29.0, 2210.0)	(30.0, 4596.0)	(31.0, 9246.0)	(32.0, 11020.0)	(33.0, 8982.0)	(34.0, 774.0)
Yell_July18_Site1a_S83_L001_R1	(15.0, 8.0)	(16.0, 224.0)	(17.0, 648.0)	(18.0, 780.0)	(19.0, 854.0)	(20.0, 907.0)	(21.0, 1022.0)	(22.0, 1152.0)	(23.0, 1196.0)	(24.0, 1308.0)	(25.0, 1433.0)	(26.0, 1765.0)	(27.0, 2066.0)	(28.0, 2935.0)	(29.0, 5261.0)	(30.0, 6626.0)	(31.0, 12108.0)	(32.0, 25356.0)	(33.0, 129363.0)	(34.0, 25786.0)
Yell_July18_Site1a_S83_L001_R2	(15.0, 47.0)	(16.0, 291.0)	(17.0, 668.0)	(18.0, 930.0)	(19.0, 1033.0)	(20.0, 1098.0)	(21.0, 1043.0)	(22.0, 1177.0)	(23.0, 1443.0)	(24.0, 1706.0)	(25.0, 1928.0)	(26.0, 2155.0)	(27.0, 2500.0)	(28.0, 3146.0)	(29.0, 4599.0)	(30.0, 8115.0)	(31.0, 15380.0)	(32.0, 31423.0)	(33.0, 131039.0)	(34.0, 11077.0)
Yell_July18_Site1b_S84_L001_R1	(15.0, 5.0)	(16.0, 146.0)	(17.0, 451.0)	(18.0, 601.0)	(19.0, 628.0)	(20.0, 707.0)	(21.0, 730.0)	(22.0, 817.0)	(23.0, 914.0)	(24.0, 1029.0)	(25.0, 1159.0)	(26.0, 1354.0)	(27.0, 1670.0)	(28.0, 2456.0)	(29.0, 3910.0)	(30.0, 7503.0)	(31.0, 15515.0)	(32.0, 29427.0)	(33.0, 77422.0)	(34.0, 11010.0)
Yell_July18_Site1b_S84_L001_R2	(15.0, 41.0)	(16.0, 239.0)	(17.0, 461.0)	(18.0, 669.0)	(19.0, 823.0)	(20.0, 871.0)	(21.0, 872.0)	(22.0, 1017.0)	(23.0, 1241.0)	(24.0, 1447.0)	(25.0, 1652.0)	(26.0, 1842.0)	(27.0, 2398.0)	(28.0, 3308.0)	(29.0, 5446.0)	(30.0, 10357.0)	(31.0, 19810.0)	(32.0, 27131.0)	(33.0, 72026.0)	(34.0, 5803.0)
Yell_July18_Site1bb_S139_L001_R1	(15.0, 9.0)	(16.0, 286.0)	(17.0, 737.0)	(18.0, 938.0)	(19.0, 971.0)	(20.0, 1087.0)	(21.0, 1191.0)	(22.0, 1209.0)	(23.0, 1314.0)	(24.0, 1429.0)	(25.0, 1515.0)	(26.0, 1820.0)	(27.0, 2200.0)	(28.0, 2833.0)	(29.0, 4173.0)	(30.0, 6815.0)	(31.0, 11767.0)	(32.0, 21528.0)	(33.0, 85766.0)	(34.0, 19317.0)
Yell_July18_Site1bb_S139_L001_R2	(15.0, 48.0)	(16.0, 312.0)	(17.0, 687.0)	(18.0, 921.0)	(19.0, 1203.0)	(20.0, 1288.0)	(21.0, 1211.0)	(22.0, 1250.0)	(23.0, 1570.0)	(24.0, 1710.0)	(25.0, 1967.0)	(26.0, 2162.0)	(27.0, 2587.0)	(28.0, 3104.0)	(29.0, 4268.0)	(30.0, 6653.0)	(31.0, 11170.0)	(32.0, 23069.0)	(33.0, 92855.0)	(34.0, 8870.0)
Yell_July18_Site1c_S85_L001_R1	(15.0, 3.0)	(16.0, 104.0)	(17.0, 344.0)	(18.0, 458.0)	(19.0, 460.0)	(20.0, 502.0)	(21.0, 574.0)	(22.0, 628.0)	(23.0, 693.0)	(24.0, 764.0)	(25.0, 804.0)	(26.0, 952.0)	(27.0, 1090.0)	(28.0, 1558.0)	(29.0, 2299.0)	(30.0, 4225.0)	(31.0, 9710.0)	(32.0, 23302.0)	(33.0, 66816.0)	(34.0, 12820.0)
Yell_July18_Site1c_S85_L001_R2	(15.0, 39.0)	(16.0, 139.0)	(17.0, 333.0)	(18.0, 415.0)	(19.0, 606.0)	(20.0, 679.0)	(21.0, 616.0)	(22.0, 737.0)	(23.0, 889.0)	(24.0, 967.0)	(25.0, 1159.0)	(26.0, 1281.0)	(27.0, 1554.0)	(28.0, 2118.0)	(29.0, 3344.0)	(30.0, 6305.0)	(31.0, 13431.0)	(32.0, 23763.0)	(33.0, 62627.0)	(34.0, 7104.0)
Yell_July18_Site1cc_S140_L001_R1	(15.0, 20.0)	(16.0, 322.0)	(17.0, 958.0)	(18.0, 1343.0)	(19.0, 1247.0)	(20.0, 1370.0)	(21.0, 1474.0)	(22.0, 1627.0)	(23.0, 1759.0)	(24.0, 1896.0)	(25.0, 2124.0)	(26.0, 2334.0)	(27.0, 2954.0)	(28.0, 3819.0)	(29.0, 5806.0)	(30.0, 10108.0)	(31.0, 22454.0)	(32.0, 55298.0)	(33.0, 194963.0)	(34.0, 42136.0)
Yell_July18_Site1cc_S140_L001_R2	(15.0, 110.0)	(16.0, 440.0)	(17.0, 798.0)	(18.0, 1292.0)	(19.0, 1605.0)	(20.0, 1700.0)	(21.0, 1701.0)	(22.0, 1869.0)	(23.0, 2283.0)	(24.0, 2596.0)	(25.0, 3100.0)	(26.0, 3451.0)	(27.0, 4176.0)	(28.0, 5562.0)	(29.0, 8505.0)	(30.0, 16357.0)	(31.0, 33078.0)	(32.0, 57182.0)	(33.0, 187892.0)	(34.0, 20315.0)
Yell_July18_Site1d_S86_L001_R1	(15.0, 10.0)	(16.0, 196.0)	(17.0, 559.0)	(18.0, 712.0)	(19.0, 756.0)	(20.0, 801.0)	(21.0, 841.0)	(22.0, 923.0)	(23.0, 995.0)	(24.0, 1067.0)	(25.0, 1219.0)	(26.0, 1345.0)	(27.0, 1666.0)	(28.0, 2150.0)	(29.0, 3347.0)	(30.0, 6029.0)	(31.0, 13885.0)	(32.0, 35728.0)	(33.0, 82328.0)	(34.0, 20479.0)
Yell_July18_Site1d_S86_L001_R2	(15.0, 43.0)	(16.0, 245.0)	(17.0, 518.0)	(18.0, 796.0)	(19.0, 1054.0)	(20.0, 1051.0)	(21.0, 1057.0)	(22.0, 1117.0)	(23.0, 1371.0)	(24.0, 1558.0)	(25.0, 1803.0)	(26.0, 2023.0)	(27.0, 2421.0)	(28.0, 3213.0)	(29.0, 5394.0)	(30.0, 10390.0)	(31.0, 22095.0)	(32.0, 33429.0)	(33.0, 76916.0)	(34.0, 8542.0)
Yell_July18_Site1dd_S141_L001_R1	(15.0, 8.0)	(16.0, 313.0)	(17.0, 977.0)	(18.0, 1250.0)	(19.0, 1456.0)	(20.0, 1604.0)	(21.0, 1777.0)	(22.0, 2005.0)	(23.0, 2085.0)	(24.0, 2346.0)	(25.0, 2665.0)	(26.0, 3276.0)	(27.0, 4214.0)	(28.0, 5946.0)	(29.0, 9645.0)	(30.0, 17701.0)	(31.0, 36759.0)	(32.0, 59678.0)	(33.0, 153762.0)	(34.0, 13762.0)
Yell_July18_Site1dd_S141_L001_R2	(15.0, 88.0)	(16.0, 337.0)	(17.0, 1012.0)	(18.0, 1328.0)	(19.0, 961.0)	(20.0, 1037.0)	(21.0, 1117.0)	(22.0, 1214.0)	(23.0, 1548.0)	(24.0, 1861.0)	(25.0, 2280.0)	(26.0, 2859.0)	(27.0, 3723.0)	(28.0, 5295.0)	(29.0, 8730.0)	(30.0, 17637.0)	(31.0, 36261.0)	(32.0, 55689.0)	(33.0, 163632.0)	(34.0, 14620.0)
Yell_July18_Site1e_S91_L001_R1	(15.0, 1.0)	(16.0, 58.0)	(17.0, 115.0)	(18.0, 147.0)	(19.0, 143.0)	(20.0, 160.0)	(21.0, 180.0)	(22.0, 192.0)	(23.0, 216.0)	(24.0, 262.0)	(25.0, 288.0)	(26.0, 418.0)	(27.0, 657.0)	(28.0, 914.0)	(29.0, 2109.0)	(30.0, 2572.0)	(31.0, 2720.0)	(32.0, 4525.0)	(33.0, 12355.0)	(34.0, 2640.0)
Yell_July18_Site1e_S91_L001_R2	(15.0, 5.0)	(16.0, 28.0)	(17.0, 83.0)	(18.0, 112.0)	(19.0, 146.0)	(20.0, 150.0)	(21.0, 139.0)	(22.0, 189.0)	(23.0, 234.0)	(24.0, 248.0)	(25.0, 229.0)	(26.0, 319.0)	(27.0, 422.0)	(28.0, 606.0)	(29.0, 888.0)	(30.0, 1537.0)	(31.0, 3273.0)	(32.0, 5219.0)	(33.0, 15409.0)	(34.0, 1436.0)
Yell_July18_Site1ee_S142_L001_R1	(15.0, 38.0)	(16.0, 1249.0)	(17.0, 3816.0)	(18.0, 3066.0)	(19.0, 1891.0)	(20.0, 1444.0)	(21.0, 1308.0)	(22.0, 1343.0)	(23.0, 1552.0)	(24.0, 2062.0)	(25.0, 3068.0)	(26.0, 4380.0)	(27.0, 6204.0)	(28.0, 8363.0)	(29.0, 13422.0)	(30.0, 26640.0)	(31.0, 45630.0)	(32.0, 58683.0)	(33.0, 32593.0)	(34.0, 199.0)
Yell_July18_Site1ee_S142_L001_R2	(15.0, 74.0)	(16.0, 376.0)	(17.0, 863.0)	(18.0, 1067.0)	(19.0, 752.0)	(20.0, 714.0)	(21.0, 824.0)	(22.0, 869.0)	(23.0, 1028.0)	(24.0, 1146.0)	(25.0, 1374.0)	(26.0, 1850.0)	(27.0, 2652.0)	(28.0, 4006.0)	(29.0, 7123.0)	(30.0, 14561.0)	(31.0, 28817.0)	(32.0, 56063.0)	(33.0, 89913.0)	(34.0, 2879.0)
Yell_July18_Site1f_S92_L001_R1	(15.0, 11.0)	(16.0, 249.0)	(17.0, 778.0)	(18.0, 1098.0)	(19.0, 1077.0)	(20.0, 1183.0)	(21.0, 1339.0)	(22.0, 1381.0)	(23.0, 1539.0)	(24.0, 1651.0)	(25.0, 1751.0)	(26.0, 1888.0)	(27.0, 2228.0)	(28.0, 2824.0)	(29.0, 4304.0)	(30.0, 7118.0)	(31.0, 12276.0)	(32.0, 25730.0)	(33.0, 184443.0)	(34.0, 42019.0)
Yell_July18_Site1f_S92_L001_R2	(15.0, 56.0)	(16.0, 246.0)	(17.0, 489.0)	(18.0, 851.0)	(19.0, 1301.0)	(20.0, 1318.0)	(21.0, 1266.0)	(22.0, 1461.0)	(23.0, 1802.0)	(24.0, 2141.0)	(25.0, 2458.0)	(26.0, 2612.0)	(27.0, 3078.0)	(28.0, 3791.0)	(29.0, 5319.0)	(30.0, 8867.0)	(31.0, 16055.0)	(32.0, 37802.0)	(33.0, 186417.0)	(34.0, 17557.0)
Yell_July18_Site1g_S93_L001_R1	(15.0, 8.0)	(16.0, 192.0)	(17.0, 538.0)	(18.0, 767.0)	(19.0, 804.0)	(20.0, 833.0)	(21.0, 934.0)	(22.0, 1025.0)	(23.0, 1091.0)	(24.0, 1245.0)	(25.0, 1511.0)	(26.0, 1738.0)	(27.0, 2174.0)	(28.0, 3029.0)	(29.0, 4629.0)	(30.0, 8253.0)	(31.0, 20219.0)	(32.0, 44098.0)	(33.0, 99512.0)	(34.0, 13630.0)
Yell_July18_Site1g_S93_L001_R2	(15.0, 64.0)	(16.0, 351.0)	(17.0, 618.0)	(18.0, 886.0)	(19.0, 1059.0)	(20.0, 1151.0)	(21.0, 1109.0)	(22.0, 1210.0)	(23.0, 1501.0)	(24.0, 1682.0)	(25.0, 1835.0)	(26.0, 2133.0)	(27.0, 2657.0)	(28.0, 3739.0)	(29.0, 5868.0)	(30.0, 11117.0)	(31.0, 21498.0)	(32.0, 36657.0)	(33.0, 103254.0)	(34.0, 7841.0)
