Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
Yell_July18_Site1h_S94_L001_R1	(15.0, 4.0)	(16.0, 66.0)	(17.0, 212.0)	(18.0, 286.0)	(19.0, 308.0)	(20.0, 333.0)	(21.0, 377.0)	(22.0, 368.0)	(23.0, 459.0)	(24.0, 490.0)	(25.0, 499.0)	(26.0, 581.0)	(27.0, 742.0)	(28.0, 1018.0)	(29.0, 1983.0)	(30.0, 3242.0)	(31.0, 5472.0)	(32.0, 10247.0)	(33.0, 40685.0)	(34.0, 5664.0)
Yell_July18_Site1h_S94_L001_R2	(15.0, 28.0)	(16.0, 119.0)	(17.0, 219.0)	(18.0, 333.0)	(19.0, 385.0)	(20.0, 395.0)	(21.0, 356.0)	(22.0, 431.0)	(23.0, 578.0)	(24.0, 612.0)	(25.0, 697.0)	(26.0, 767.0)	(27.0, 867.0)	(28.0, 1176.0)	(29.0, 1741.0)	(30.0, 3274.0)	(31.0, 6276.0)	(32.0, 11306.0)	(33.0, 39575.0)	(34.0, 3901.0)
Yell_July18_Site1k_S100_L001_R1	(15.0, 3.0)	(16.0, 141.0)	(17.0, 438.0)	(18.0, 520.0)	(19.0, 636.0)	(20.0, 697.0)	(21.0, 683.0)	(22.0, 718.0)	(23.0, 786.0)	(24.0, 933.0)	(25.0, 1051.0)	(26.0, 1218.0)	(27.0, 1614.0)	(28.0, 2433.0)	(29.0, 4052.0)	(30.0, 8147.0)	(31.0, 17889.0)	(32.0, 25869.0)	(33.0, 44314.0)	(34.0, 3391.0)
Yell_July18_Site1k_S100_L001_R2	(15.0, 32.0)	(16.0, 107.0)	(17.0, 450.0)	(18.0, 547.0)	(19.0, 328.0)	(20.0, 375.0)	(21.0, 392.0)	(22.0, 442.0)	(23.0, 491.0)	(24.0, 656.0)	(25.0, 763.0)	(26.0, 962.0)	(27.0, 1231.0)	(28.0, 1860.0)	(29.0, 3452.0)	(30.0, 7642.0)	(31.0, 16448.0)	(32.0, 23019.0)	(33.0, 50753.0)	(34.0, 5583.0)
Yell_July18_Site1m_S102_L001_R1	(15.0, 10.0)	(16.0, 185.0)	(17.0, 531.0)	(18.0, 696.0)	(19.0, 773.0)	(20.0, 874.0)	(21.0, 943.0)	(22.0, 1053.0)	(23.0, 1037.0)	(24.0, 1261.0)	(25.0, 1362.0)	(26.0, 1659.0)	(27.0, 1977.0)	(28.0, 2994.0)	(29.0, 4584.0)	(30.0, 8626.0)	(31.0, 19469.0)	(32.0, 34119.0)	(33.0, 75381.0)	(34.0, 9469.0)
Yell_July18_Site1m_S102_L001_R2	(15.0, 55.0)	(16.0, 260.0)	(17.0, 507.0)	(18.0, 698.0)	(19.0, 811.0)	(20.0, 870.0)	(21.0, 895.0)	(22.0, 939.0)	(23.0, 1092.0)	(24.0, 1362.0)	(25.0, 1650.0)	(26.0, 1932.0)	(27.0, 2496.0)	(28.0, 3415.0)	(29.0, 5668.0)	(30.0, 11150.0)	(31.0, 21967.0)	(32.0, 30957.0)	(33.0, 73948.0)	(34.0, 6331.0)
Yell_July18_Site1n_S103_L001_R1	(15.0, 8.0)	(16.0, 236.0)	(17.0, 617.0)	(18.0, 932.0)	(19.0, 823.0)	(20.0, 1077.0)	(21.0, 1282.0)	(22.0, 1347.0)	(23.0, 1316.0)	(24.0, 1410.0)	(25.0, 1590.0)	(26.0, 1800.0)	(27.0, 2302.0)	(28.0, 3226.0)	(29.0, 5123.0)	(30.0, 8669.0)	(31.0, 18358.0)	(32.0, 43901.0)	(33.0, 124750.0)	(34.0, 21326.0)
Yell_July18_Site1n_S103_L001_R2	(15.0, 87.0)	(16.0, 430.0)	(17.0, 993.0)	(18.0, 1345.0)	(19.0, 1457.0)	(20.0, 1593.0)	(21.0, 1639.0)	(22.0, 1776.0)	(23.0, 2234.0)	(24.0, 2614.0)	(25.0, 2735.0)	(26.0, 3153.0)	(27.0, 3785.0)	(28.0, 4912.0)	(29.0, 7395.0)	(30.0, 13528.0)	(31.0, 25658.0)	(32.0, 40873.0)	(33.0, 114505.0)	(34.0, 9381.0)
Yell_July18_Site1o_S104_L001_R1	(15.0, 8.0)	(16.0, 175.0)	(17.0, 543.0)	(18.0, 704.0)	(19.0, 706.0)	(20.0, 793.0)	(21.0, 936.0)	(22.0, 1021.0)	(23.0, 1112.0)	(24.0, 1215.0)	(25.0, 1310.0)	(26.0, 1501.0)	(27.0, 1892.0)	(28.0, 2422.0)	(29.0, 3804.0)	(30.0, 6784.0)	(31.0, 16131.0)	(32.0, 40746.0)	(33.0, 105206.0)	(34.0, 20218.0)
Yell_July18_Site1o_S104_L001_R2	(15.0, 65.0)	(16.0, 313.0)	(17.0, 706.0)	(18.0, 1040.0)	(19.0, 1111.0)	(20.0, 1257.0)	(21.0, 1142.0)	(22.0, 1312.0)	(23.0, 1590.0)	(24.0, 1787.0)	(25.0, 2089.0)	(26.0, 2286.0)	(27.0, 2858.0)	(28.0, 3739.0)	(29.0, 6194.0)	(30.0, 11919.0)	(31.0, 24927.0)	(32.0, 40463.0)	(33.0, 94897.0)	(34.0, 7532.0)
Yell_July18_Site1p_S105_L001_R1	(15.0, 134.0)	(16.0, 1826.0)	(17.0, 4366.0)	(18.0, 5400.0)	(19.0, 5900.0)	(20.0, 6660.0)	(21.0, 6790.0)	(22.0, 6781.0)	(23.0, 7098.0)	(24.0, 8082.0)	(25.0, 10701.0)	(26.0, 16011.0)	(27.0, 33095.0)	(28.0, 158548.0)	(29.0, 60795.0)	(30.0, 39034.0)	(31.0, 79603.0)	(32.0, 155616.0)	(33.0, 379563.0)	(34.0, 73776.0)
Yell_July18_Site1p_S105_L001_R2	(15.0, 332.0)	(16.0, 1610.0)	(17.0, 2903.0)	(18.0, 4183.0)	(19.0, 5243.0)	(20.0, 5553.0)	(21.0, 5495.0)	(22.0, 6082.0)	(23.0, 7167.0)	(24.0, 8358.0)	(25.0, 9068.0)	(26.0, 10514.0)	(27.0, 12659.0)	(28.0, 17602.0)	(29.0, 28041.0)	(30.0, 52385.0)	(31.0, 110169.0)	(32.0, 209822.0)	(33.0, 521573.0)	(34.0, 41020.0)
Yell_July18_Site1q_S106_L001_R1	(15.0, 9.0)	(16.0, 201.0)	(17.0, 634.0)	(18.0, 851.0)	(19.0, 740.0)	(20.0, 830.0)	(21.0, 849.0)	(22.0, 865.0)	(23.0, 913.0)	(24.0, 972.0)	(25.0, 1048.0)	(26.0, 1198.0)	(27.0, 1364.0)	(28.0, 1783.0)	(29.0, 3041.0)	(30.0, 4306.0)	(31.0, 7285.0)	(32.0, 14301.0)	(33.0, 85852.0)	(34.0, 24475.0)
Yell_July18_Site1q_S106_L001_R2	(15.0, 38.0)	(16.0, 145.0)	(17.0, 237.0)	(18.0, 456.0)	(19.0, 785.0)	(20.0, 840.0)	(21.0, 744.0)	(22.0, 866.0)	(23.0, 1034.0)	(24.0, 1134.0)	(25.0, 1295.0)	(26.0, 1439.0)	(27.0, 1561.0)	(28.0, 2093.0)	(29.0, 2807.0)	(30.0, 5051.0)	(31.0, 9036.0)	(32.0, 19701.0)	(33.0, 91579.0)	(34.0, 10676.0)
Yell_July18_Site1r_S111_L001_R1	(15.0, 3.0)	(16.0, 104.0)	(17.0, 357.0)	(18.0, 490.0)	(19.0, 554.0)	(20.0, 609.0)	(21.0, 639.0)	(22.0, 736.0)	(23.0, 899.0)	(24.0, 942.0)	(25.0, 998.0)	(26.0, 1155.0)	(27.0, 1470.0)	(28.0, 1854.0)	(29.0, 2964.0)	(30.0, 5464.0)	(31.0, 13049.0)	(32.0, 33651.0)	(33.0, 80764.0)	(34.0, 20554.0)
Yell_July18_Site1r_S111_L001_R2	(15.0, 47.0)	(16.0, 269.0)	(17.0, 816.0)	(18.0, 1035.0)	(19.0, 836.0)	(20.0, 892.0)	(21.0, 822.0)	(22.0, 961.0)	(23.0, 1180.0)	(24.0, 1321.0)	(25.0, 1471.0)	(26.0, 1782.0)	(27.0, 2191.0)	(28.0, 3160.0)	(29.0, 5011.0)	(30.0, 9956.0)	(31.0, 20581.0)	(32.0, 29685.0)	(33.0, 76748.0)	(34.0, 8492.0)
Yell_July18_Site1s_S112_L001_R1	(15.0, 9.0)	(16.0, 183.0)	(17.0, 553.0)	(18.0, 836.0)	(19.0, 807.0)	(20.0, 959.0)	(21.0, 1006.0)	(22.0, 1045.0)	(23.0, 1218.0)	(24.0, 1271.0)	(25.0, 1496.0)	(26.0, 1690.0)	(27.0, 2156.0)	(28.0, 2963.0)	(29.0, 4699.0)	(30.0, 8569.0)	(31.0, 20405.0)	(32.0, 42769.0)	(33.0, 91381.0)	(34.0, 16013.0)
Yell_July18_Site1s_S112_L001_R2	(15.0, 79.0)	(16.0, 366.0)	(17.0, 1129.0)	(18.0, 1507.0)	(19.0, 1148.0)	(20.0, 1175.0)	(21.0, 1067.0)	(22.0, 1240.0)	(23.0, 1520.0)	(24.0, 1789.0)	(25.0, 2044.0)	(26.0, 2440.0)	(27.0, 3082.0)	(28.0, 4317.0)	(29.0, 6842.0)	(30.0, 13330.0)	(31.0, 26732.0)	(32.0, 38539.0)	(33.0, 84101.0)	(34.0, 7581.0)
Yell_July18_Site1t_S113_L001_R1	(15.0, 15.0)	(16.0, 166.0)	(17.0, 581.0)	(18.0, 771.0)	(19.0, 807.0)	(20.0, 853.0)	(21.0, 902.0)	(22.0, 1061.0)	(23.0, 1110.0)	(24.0, 1195.0)	(25.0, 1290.0)	(26.0, 1506.0)	(27.0, 1895.0)	(28.0, 2539.0)	(29.0, 3961.0)	(30.0, 6908.0)	(31.0, 16511.0)	(32.0, 40276.0)	(33.0, 94874.0)	(34.0, 21045.0)
Yell_July18_Site1t_S113_L001_R2	(15.0, 85.0)	(16.0, 475.0)	(17.0, 2047.0)	(18.0, 2545.0)	(19.0, 1267.0)	(20.0, 1146.0)	(21.0, 1141.0)	(22.0, 1277.0)	(23.0, 1533.0)	(24.0, 1827.0)	(25.0, 2041.0)	(26.0, 2347.0)	(27.0, 2781.0)	(28.0, 3790.0)	(29.0, 6093.0)	(30.0, 11462.0)	(31.0, 23665.0)	(32.0, 37118.0)	(33.0, 88690.0)	(34.0, 6936.0)
Yell_July18_Site1v_S117_L001_R1	(15.0, 9.0)	(16.0, 150.0)	(17.0, 402.0)	(18.0, 611.0)	(19.0, 670.0)	(20.0, 772.0)	(21.0, 791.0)	(22.0, 905.0)	(23.0, 965.0)	(24.0, 1059.0)	(25.0, 1279.0)	(26.0, 1382.0)	(27.0, 1715.0)	(28.0, 2391.0)	(29.0, 3546.0)	(30.0, 6406.0)	(31.0, 14104.0)	(32.0, 35775.0)	(33.0, 91028.0)	(34.0, 22297.0)
Yell_July18_Site1v_S117_L001_R2	(15.0, 58.0)	(16.0, 271.0)	(17.0, 517.0)	(18.0, 701.0)	(19.0, 877.0)	(20.0, 913.0)	(21.0, 851.0)	(22.0, 1121.0)	(23.0, 1269.0)	(24.0, 1453.0)	(25.0, 1720.0)	(26.0, 1990.0)	(27.0, 2402.0)	(28.0, 3206.0)	(29.0, 5124.0)	(30.0, 9435.0)	(31.0, 18779.0)	(32.0, 32966.0)	(33.0, 93892.0)	(34.0, 8712.0)
Yell_July18_Site1w_S118_L001_R1	(15.0, 12.0)	(16.0, 241.0)	(17.0, 665.0)	(18.0, 827.0)	(19.0, 858.0)	(20.0, 896.0)	(21.0, 1006.0)	(22.0, 1050.0)	(23.0, 1218.0)	(24.0, 1294.0)	(25.0, 1436.0)	(26.0, 1606.0)	(27.0, 1880.0)	(28.0, 2338.0)	(29.0, 3619.0)	(30.0, 6167.0)	(31.0, 13697.0)	(32.0, 31277.0)	(33.0, 103384.0)	(34.0, 25410.0)
Yell_July18_Site1w_S118_L001_R2	(15.0, 70.0)	(16.0, 316.0)	(17.0, 606.0)	(18.0, 882.0)	(19.0, 1205.0)	(20.0, 1211.0)	(21.0, 1172.0)	(22.0, 1345.0)	(23.0, 1612.0)	(24.0, 1798.0)	(25.0, 2055.0)	(26.0, 2301.0)	(27.0, 2762.0)	(28.0, 3584.0)	(29.0, 5253.0)	(30.0, 9651.0)	(31.0, 19509.0)	(32.0, 32013.0)	(33.0, 101117.0)	(34.0, 10419.0)
Yell_July18_Site1y_S120_L001_R1	(15.0, 7.0)	(16.0, 144.0)	(17.0, 422.0)	(18.0, 580.0)	(19.0, 613.0)	(20.0, 621.0)	(21.0, 678.0)	(22.0, 784.0)	(23.0, 872.0)	(24.0, 910.0)	(25.0, 1057.0)	(26.0, 1297.0)	(27.0, 1550.0)	(28.0, 1980.0)	(29.0, 3101.0)	(30.0, 5527.0)	(31.0, 13466.0)	(32.0, 32012.0)	(33.0, 74655.0)	(34.0, 16543.0)
Yell_July18_Site1y_S120_L001_R2	(15.0, 54.0)	(16.0, 264.0)	(17.0, 508.0)	(18.0, 688.0)	(19.0, 852.0)	(20.0, 956.0)	(21.0, 964.0)	(22.0, 1065.0)	(23.0, 1249.0)	(24.0, 1480.0)	(25.0, 1757.0)	(26.0, 1955.0)	(27.0, 2479.0)	(28.0, 3375.0)	(29.0, 5399.0)	(30.0, 10194.0)	(31.0, 19783.0)	(32.0, 28502.0)	(33.0, 68434.0)	(34.0, 6861.0)
