Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
Yell_July18_Site1J_S99	0.0229279	72.2851	3.452683	0.017122	37.3279	98.14284076579159	7.749627421758569						
Yell_July18_Site1J_S99_L001_R1								47.097301717089124	37.0	278.8421913327882	291	36.36363636363637	0.008561
Yell_July18_Site1J_S99_L001_R2								53.883892068683565	37.0	279.0723046373087	291	45.45454545454545	0.008561
Yell_July18_Site1L_S101	19.1545	87.97739999999999	16.664379999999998	0.09959599999999999	45.4376	99.48457727345374	74.36670928560012						
Yell_July18_Site1L_S101_L001_R1								83.88489497570183	45.0	190.08040483553557	157	45.45454545454545	0.049797999999999995
Yell_July18_Site1L_S101_L001_R2								84.22426603478051	45.0	190.16143218603156	157	45.45454545454545	0.049797999999999995
Yell_July18_Site1U_S114	0.144421	84.9733	16.308033	0.08503	37.744299999999996	99.03331003959934	34.35126950850221						
Yell_July18_Site1U_S114_L001_R1								50.1117252734329	37.0	225.5639656591791	291	45.45454545454545	0.042515
Yell_July18_Site1U_S114_L001_R2								44.91591203104787	37.0	225.80079971774668	291	36.36363636363637	0.042515
Yell_July18_Site1a_S83	5.31879	90.14330000000001	65.84225099999999	0.441922	48.2712	99.60556447105068	90.10710615048954						
Yell_July18_Site1a_S83_L001_R1								90.21094220247012	47.0	165.39192436674344	157	45.45454545454545	0.220961
Yell_July18_Site1a_S83_L001_R2								91.76415747575363	48.0	164.4106086594467	154	45.45454545454545	0.220961
Yell_July18_Site1b_S84	12.3618	87.1084	53.433614999999996	0.315036	44.331700000000005	99.53995677615865	69.10696004954312						
Yell_July18_Site1b_S84_L001_R1								84.84490661384731	44.0	194.78523724272782	157	45.45454545454545	0.157518
Yell_July18_Site1b_S84_L001_R2								85.39278050762452	44.0	194.08237471273125	154	45.45454545454545	0.157518
Yell_July18_Site1bb_S139	18.8771	87.5541	44.67688	0.33410999999999996	49.0514	99.47065688562854	91.50609727051875						
Yell_July18_Site1bb_S139_L001_R1								88.71449522612313	48.0	152.85528718086857	157	45.45454545454545	0.16705499999999998
Yell_July18_Site1bb_S139_L001_R2								88.7450240938613	49.0	153.03009188590585	157	45.45454545454545	0.16705499999999998
Yell_July18_Site1c_S85	0.0986615	89.0249	43.913421	0.25634799999999996	44.7187	99.57350279281869	71.78204361302953						
Yell_July18_Site1c_S85_L001_R1								86.61663051788975	44.0	192.52036294412284	157	45.45454545454545	0.12817399999999998
Yell_July18_Site1c_S85_L001_R2								87.50370589979246	45.0	191.57649367266373	154	45.45454545454545	0.12817399999999998
Yell_July18_Site1cc_S140	23.2412	89.7751	113.808133	0.7084239999999999	46.2843	99.30165992436285	78.53732657140534						
Yell_July18_Site1cc_S140_L001_R1								90.78687339785213	45.0	178.88066750985286	157	45.45454545454545	0.35421199999999997
Yell_July18_Site1cc_S140_L001_R2								91.14626269014036	46.0	178.09139159599337	154	45.45454545454545	0.35421199999999997
Yell_July18_Site1d_S86	19.514	87.9757	61.175062	0.35026199999999996	44.3411	99.51077321696441	67.25476158007181						
Yell_July18_Site1d_S86_L001_R1								87.24497661750347	44.0	198.61869686120676	157	45.45454545454545	0.17513099999999998
Yell_July18_Site1d_S86_L001_R2								87.56873426178117	44.0	198.685772364687	157	45.45454545454545	0.17513099999999998
Yell_July18_Site1dd_S141	16.636	87.6329	106.672517	0.64286	45.0413	99.52933890695154	72.92088558600402						
