Sample	fastp-pct_duplication	fastp-after_filtering_q30_rate	fastp-after_filtering_q30_bases	fastp-filtering_result_passed_filter_reads	fastp-after_filtering_gc_content	fastp-pct_surviving	fastp-pct_adapter	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
Yell_July18_Site1dd_S141_L001_R1								89.21787014279937	44.0	189.40413775938774	157	45.45454545454545	0.32143
Yell_July18_Site1dd_S141_L001_R2								90.6965746818903	45.0	188.46762592166257	154	45.45454545454545	0.32143
Yell_July18_Site1e_S91	6.563479999999999	88.2139	8.991152	0.061404	46.3682	99.41391704173817	76.34944791632937						
Yell_July18_Site1e_S91_L001_R1								80.4703276659501	46.0	165.68210540029966	157	45.45454545454545	0.030702
Yell_July18_Site1e_S91_L001_R2								76.1546479056739	46.0	165.88251579701648	157	45.45454545454545	0.030702
Yell_July18_Site1ee_S142	15.328	83.7885	51.651953	0.434476	42.2914	97.5228501140261	33.83702346962596						
Yell_July18_Site1ee_S142_L001_R1								84.45667884992497	42.0	139.90070337602077	92	54.54545454545454	0.217238
Yell_July18_Site1ee_S142_L001_R2								81.13911930693524	42.0	141.3497293291229	94	54.54545454545454	0.217238
Yell_July18_Site1f_S92	30.1268	91.75	85.380562	0.590062	50.7864	99.7133963545909	98.13775225683472						
Yell_July18_Site1f_S92_L001_R1								93.91623253149669	50.0	157.5477966722141	157	54.54545454545454	0.295031
Yell_July18_Site1f_S92_L001_R2								95.66316759933702	51.0	156.61498791652403	154	45.45454545454545	0.295031
Yell_July18_Site1g_S93	20.785899999999998	88.3544	61.507656999999995	0.412664	46.2944	99.41794352895828	77.76139539365904						
Yell_July18_Site1g_S93_L001_R1								89.66471511932225	46.0	168.73661380687435	157	45.45454545454545	0.206332
Yell_July18_Site1g_S93_L001_R2								88.29701645891089	46.0	167.77117945834868	154	45.45454545454545	0.206332
Yell_July18_Site1h_S94	11.4804	89.2167	22.380637	0.14615999999999998	47.7646	99.54775785975045	83.68522857298535						
Yell_July18_Site1h_S94_L001_R1								86.49972632731253	47.0	171.4982484948002	157	45.45454545454545	0.07307999999999999
Yell_July18_Site1h_S94_L001_R2								86.0536398467433	48.0	171.58182813355228	157	45.45454545454545	0.07307999999999999
Yell_July18_Site1k_S100	14.8956	86.456	41.494141	0.231264	43.5833	99.40596442663961	59.905607661425506						
Yell_July18_Site1k_S100_L001_R1								85.46855541718556	43.0	207.55570257368203	157	45.45454545454545	0.115632
Yell_July18_Site1k_S100_L001_R2								86.43195655181957	43.0	207.606000069185	157	45.45454545454545	0.115632
Yell_July18_Site1m_S102	15.0753	86.5608	57.720093	0.334194	44.0935	99.53122394033976	66.0050987586667						
Yell_July18_Site1m_S102_L001_R1								86.28640849327037	43.0	199.59519321112887	157	45.45454545454545	0.167097
Yell_July18_Site1m_S102_L001_R2								87.12484365368618	44.0	198.67113113939808	154	45.45454545454545	0.167097
Yell_July18_Site1n_S103	11.5611	87.6438	79.64746099999999	0.480444	45.4197	99.44280699430388	73.38885945158299						
Yell_July18_Site1n_S103_L001_R1								87.93491020805754	45.0	189.29818667732349	157	45.45454545454545	0.240222
Yell_July18_Site1n_S103_L001_R2								87.83375377775558	45.0	188.65249019656818	154	45.45454545454545	0.240222
Yell_July18_Site1o_S104	15.287400000000002	88.2228	71.336827	0.414736	44.6359	99.48570331990021	69.28420648627902						
Yell_July18_Site1o_S104_L001_R1								86.16999729948691	44.0	195.05704351683963	157	45.45454545454545	0.207368
Yell_July18_Site1o_S104_L001_R2								86.16903283052352	44.0	195.13417209984183	157	45.45454545454545	0.207368
Yell_July18_Site1p_S105	0.952781	88.0175	302.93836	2.122344	45.500800000000005	99.06570324315241	74.92596949158872						
Yell_July18_Site1p_S105_L001_R1								92.42403681966731	45.0	162.20369176721587	157	45.45454545454545	1.061172
Yell_July18_Site1p_S105_L001_R2								91.52324034181075	45.0	161.39090976769083	154	45.45454545454545	1.061172
Yell_July18_Site1q_S106	20.024800000000003	90.76650000000001	43.88185	0.30326	50.171299999999995	99.53001719769472	94.87745001509721						
Yell_July18_Site1q_S106_L001_R1								89.14199037129856	49.0	159.37592165138824	157	45.45454545454545	0.15163
Yell_July18_Site1q_S106_L001_R2								91.40407571061135	50.0	159.5114159467124	157	45.45454545454545	0.15163
Yell_July18_Site1r_S111	25.1409	88.3356	58.223264	0.334734	44.6735	99.52369059511916	68.79905808477237						
Yell_July18_Site1r_S111_L001_R1								89.77217731093944	44.0	196.94215108115696	157	45.45454545454545	0.167367
Yell_July18_Site1r_S111_L001_R2								89.341387489768	45.0	195.75269019579727	154	45.45454545454545	0.167367
Yell_July18_Site1s_S112	14.270299999999999	86.68	70.01426599999999	0.400374	43.776900000000005	99.48910369505256	64.48823397858013						
Yell_July18_Site1s_S112_L001_R1								87.05810067586806	43.0	201.8036635745578	157	45.45454545454545	0.200187
Yell_July18_Site1s_S112_L001_R2								87.06009880761488	44.0	201.87325350797005	157	45.45454545454545	0.200187
Yell_July18_Site1t_S113	1.88707	86.9473	68.703007	0.39727399999999996	44.083	99.37464667537158	67.64622011436462						
Yell_July18_Site1t_S113_L001_R1								87.38855298861742	43.0	198.88057612630075	157	45.45454545454545	0.19863699999999998
Yell_July18_Site1t_S113_L001_R2								87.30347316965117	44.0	198.1136696587242	154	45.45454545454545	0.19863699999999998
Yell_July18_Site1v_S117	20.6401	89.1318	57.745718	0.372708	46.328	97.18186464189239	76.12303006914965						
Yell_July18_Site1v_S117_L001_R1								89.02411539328375	45.0	173.55669854148556	157	45.45454545454545	0.186354
Yell_July18_Site1v_S117_L001_R2								87.35095570795367	46.0	173.0579783637593	154	45.45454545454545	0.186354
Yell_July18_Site1w_S118	0.24914799999999998	88.5277	64.294496	0.398024	46.5385	99.56524131858457	78.5757525727808						
Yell_July18_Site1w_S118_L001_R1								89.86443028561092	46.0	182.5621972544369	157	45.45454545454545	0.199012
Yell_July18_Site1w_S118_L001_R2								90.8503004843929	46.0	182.63489136333487	157	45.45454545454545	0.199012
Yell_July18_Site1y_S120	12.632299999999999	87.5618	54.942581	0.31379999999999997	43.957499999999996	99.61335542730892	67.0075995657391						
Yell_July18_Site1y_S120_L001_R1								88.36456341618866	43.0	200.0351370299554	157	45.45454545454545	0.15689999999999998
Yell_July18_Site1y_S120_L001_R2								88.3046526449968	44.0	200.10217973231357	157	45.45454545454545	0.15689999999999998
Yell_July18_Site1z_S129	19.569200000000002	89.7616	46.660112999999996	0.291854	47.0389	99.63947970366324	83.02959953569355						
Yell_July18_Site1z_S129_L001_R1								89.62700528346365	46.0	178.32053012807773	157	45.45454545454545	0.145927
Yell_July18_Site1z_S129_L001_R2								91.16887210728652	47.0	178.40703228326493	157	45.45454545454545	0.145927
Yell_July18_Site5J_S107	2.8571400000000002	91.0989	0.020807	0.00014	50.4247	100.0	94.28571428571428						
Yell_July18_Site5J_S107_L001_R1								58.57142857142857	49.0	163.02857142857144	157	45.45454545454545	7e-05
Yell_July18_Site5J_S107_L001_R2								62.857142857142854	50.0	163.17142857142858	157	45.45454545454545	7e-05
Yell_July18_Site5L_S109	24.5725	86.3549	64.186165	0.372878	44.0234	99.31865883932282	66.37882355448066						
Yell_July18_Site5L_S109_L001_R1								87.23550330134789	43.0	199.1797799816562	157	45.45454545454545	0.186439
Yell_July18_Site5L_S109_L001_R2								86.16223000552459	44.0	197.8976930792377	154	45.45454545454545	0.186439
Yell_July18_Site5a_S87	36.143	89.9498	47.021128	0.319106	49.4398	99.36106215632181	90.86119604680563						
Yell_July18_Site5a_S87_L001_R1								93.00483225009872	48.0	163.47230700770277	157	45.45454545454545	0.159553
Yell_July18_Site5a_S87_L001_R2								92.3686799997493	49.0	161.73467437152544	154	45.45454545454545	0.159553
Yell_July18_Site5aa_S132	14.4422	86.63929999999999	104.31431599999999	0.621566	44.3162	99.56494020330555	71.65447666279022						
Yell_July18_Site5aa_S132_L001_R1								89.18538015271105	43.0	193.46930173143318	157	45.45454545454545	0.310783
Yell_July18_Site5aa_S132_L001_R2								89.575041105852	44.0	192.82740046913764	154	45.45454545454545	0.310783
Yell_July18_Site5b_S88	24.3747	86.8513	60.244127	0.401852	46.5893	98.92959133431806	77.94140817331365						
Yell_July18_Site5b_S88_L001_R1								90.32529388929258	46.0	172.23811253894468	157	45.45454545454545	0.200926
Yell_July18_Site5b_S88_L001_R2								88.19067716472732	46.0	172.47048166986852	157	45.45454545454545	0.200926
Yell_July18_Site5bb_S133	20.3046	86.6911	135.72417199999998	0.75795	43.229	99.44710062401268	62.19133939677025						
Yell_July18_Site5bb_S133_L001_R1								90.233920443301	42.0	206.35380170195924	162	45.45454545454545	0.378975
Yell_July18_Site5bb_S133_L001_R2								89.72438815225279	43.0	205.920043538492	164	45.45454545454545	0.378975
Yell_July18_Site5c_S89	5.51996	85.5352	20.905044999999998	0.122818	43.5845	99.34802303759788	66.4563515175047						
Yell_July18_Site5c_S89_L001_R1								82.07917406243385	43.0	198.87474148740412	157	45.45454545454545	0.061409
Yell_July18_Site5c_S89_L001_R2								83.35911674184565	43.0	198.9238873780716	157	45.45454545454545	0.061409
Yell_July18_Site5cc_S134	9.69682	84.7749	136.921435	0.8495039999999999	44.671499999999995	99.1799450806045	71.60769992341173						
Yell_July18_Site5cc_S134_L001_R1								90.87443967303274	44.0	189.84564875503824	157	45.45454545454545	0.42475199999999996
Yell_July18_Site5cc_S134_L001_R2								90.19992842882435	44.0	189.2731111330847	154	45.45454545454545	0.42475199999999996
Yell_July18_Site5e_S95	40.463	91.4568	103.664582	0.69622	51.1658	99.6841469246563	95.89419637871443						
Yell_July18_Site5e_S95_L001_R1								94.35551980695757	50.0	162.31236103530495	157	45.45454545454545	0.34811
Yell_July18_Site5e_S95_L001_R2								95.78811295280228	51.0	162.501927551636	154	45.45454545454545	0.34811
Yell_July18_Site5ee_S136	27.3806	89.3014	100.151787	0.640876	46.8603	99.4883354135231	84.44328533373074						
Yell_July18_Site5ee_S136_L001_R1								92.30334729339216	46.0	174.99814316654079	157	45.45454545454545	0.320438
Yell_July18_Site5ee_S136_L001_R2								92.66067070696984	47.0	173.57819141300345	154	45.45454545454545	0.320438
Yell_July18_Site5f_S96	0.639927	76.1598	2.672077	0.01721	44.7372	98.33161924351502	62.83853273911553						
Yell_July18_Site5f_S96_L001_R1								64.77629285299244	44.0	203.4641487507263	162	45.45454545454545	0.008605
Yell_July18_Site5f_S96_L001_R2								71.59790819291109	45.0	203.67588611272515	162	45.45454545454545	0.008605
Yell_July18_Site5ff_S137	1.24155	85.7405	147.252677	0.84295	43.5834	99.29418028557899	62.819132520242846						
Yell_July18_Site5ff_S137_L001_R1								88.91654309271013	43.0	203.6809371848864	157	45.45454545454545	0.421475
Yell_July18_Site5ff_S137_L001_R2								87.82418886054926	43.0	202.85415742333473	154	45.45454545454545	0.421475
Yell_July18_Site5g_S97	0.217105	82.9323	49.557756	0.213694	36.2785	99.13250821101853	4.2149895158746356						
Yell_July18_Site5g_S97_L001_R1								78.18095033084691	36.0	279.5675685793705	291	45.45454545454545	0.106847
Yell_July18_Site5g_S97_L001_R2								71.777401330875	36.0	279.64173069903694	291	45.45454545454545	0.106847
Yell_July18_Site5h_S98	36.5617	91.0774	107.565421	0.751506	50.32600000000001	99.58813380085712	98.30482869387528						
Yell_July18_Site5h_S98_L001_R1								95.0227942291878	49.0	156.88339414455774	157	54.54545454545454	0.375753
Yell_July18_Site5h_S98_L001_R2								96.66403195716335	50.0	157.03832836996645	157	54.54545454545454	0.375753
Yell_July18_Site5k_S108	16.3627	83.5295	20.532211999999998	0.123002	44.3049	98.90164672584588	65.88672327286761						
Yell_July18_Site5k_S108_L001_R1								83.72546787857108	44.0	199.72741906635665	157	45.45454545454545	0.061501
Yell_July18_Site5k_S108_L001_R2								81.87834344157005	44.0	199.77198744735858	157	45.45454545454545	0.061501
Yell_July18_Site5m_S110	26.4974	88.506	41.539353	0.24251399999999998	44.6399	99.36573493620473	70.0994009718842						
Yell_July18_Site5m_S110_L001_R1								86.63499839184541	44.0	193.42703514023933	157	45.45454545454545	0.12125699999999999
Yell_July18_Site5m_S110_L001_R2								86.06348499468072	44.0	193.48515137270425	157	45.45454545454545	0.12125699999999999
Yell_July18_Site5n_S115	13.983899999999998	87.15859999999999	35.416872	0.21971	45.256299999999996	99.0907696887149	74.36205045867422						
Yell_July18_Site5n_S115_L001_R1								82.9857539483865	44.0	184.7755951026353	157	45.45454545454545	0.109855
Yell_July18_Site5n_S115_L001_R2								83.23153247462565	45.0	184.38976377952756	154	45.45454545454545	0.109855
Yell_July18_Site5o_S116	6.696720000000001	86.6475	37.903287	0.219384	43.208200000000005	99.49568246135985	67.63206588781657						
Yell_July18_Site5o_S116_L001_R1								86.62710133829268	42.0	199.25737519600335	157	45.45454545454545	0.109692
Yell_July18_Site5o_S116_L001_R2								87.28530795317799	43.0	199.33473726434016	157	45.45454545454545	0.109692
Yell_July18_Site5p_S121	22.061	88.06049999999999	50.347718	0.299658	44.6936	99.36203089043775	72.83193294029485						
Yell_July18_Site5p_S121_L001_R1								87.32421627321814	44.0	190.61621581936743	157	45.45454545454545	0.149829
Yell_July18_Site5p_S121_L001_R2								87.34957851951225	45.0	190.68345246914816	157	45.45454545454545	0.149829
Yell_July18_Site5q_S122	0.279365	82.4917	63.604437999999995	0.314752	36.3687	99.24451675558414	20.940381146972392						
Yell_July18_Site5q_S122_L001_R1								67.19448962993087	36.0	244.90530957706386	291	36.36363636363637	0.157376
Yell_July18_Site5q_S122_L001_R2								60.73607157381049	36.0	244.71359991358275	291	36.36363636363637	0.157376
Yell_July18_Site5r_S123	21.4662	89.3121	62.987517	0.39168	46.17	99.68339933422239	81.24471908053465						
Yell_July18_Site5r_S123_L001_R1								88.32312091503267	45.0	179.89129901960786	157	45.45454545454545	0.19584
Yell_July18_Site5r_S123_L001_R2								88.78523284313725	46.0	179.99080371732026	157	45.45454545454545	0.19584
Yell_July18_Site5s_S124	16.7978	85.194	43.156151	0.265464	43.9621	99.16844110725093	68.90806529941351						
Yell_July18_Site5s_S124_L001_R1								86.29644697586113	43.0	190.79367447186812	157	45.45454545454545	0.132732
Yell_July18_Site5s_S124_L001_R2								83.573667239249	44.0	189.719879154989	154	45.45454545454545	0.132732
Yell_July18_Site5u_S126	13.2044	86.7192	29.789284	0.17292	44.3146	99.39530499160784	67.00503529303566						
Yell_July18_Site5u_S126_L001_R1								85.50543603978718	43.0	198.7561647004395	157	45.45454545454545	0.08646
Yell_July18_Site5u_S126_L001_R2								85.84779088595883	44.0	198.84493407356004	157	45.45454545454545	0.08646
Yell_July18_Site5v_S127	17.7644	85.4646	26.190637	0.165458	45.3104	99.46736882604723	77.36377627086038						
Yell_July18_Site5v_S127_L001_R1								87.23784888007833	44.0	185.1094537586578	157	45.45454545454545	0.082729
Yell_July18_Site5v_S127_L001_R2								87.43366896735122	45.0	185.20296389416046	157	45.45454545454545	0.082729
Yell_July18_Site5w_S128	0.0	94.2435	0.005108	2.6e-05	43.4686	100.0	61.53846153846154						
Yell_July18_Site5w_S128_L001_R1								7.692307692307693	43.0	208.92307692307693	162	36.36363636363637	1.3e-05
Yell_July18_Site5w_S128_L001_R2								15.384615384615387	43.0	208.92307692307693	162	36.36363636363637	1.3e-05
Yell_July18_Site5z_S131	15.9263	85.2198	182.254591	1.0317159999999999	43.4242	99.4214238908376	61.40500327641367						
Yell_July18_Site5z_S131_L001_R1								86.23923637900353	43.0	207.01373052274076	162	45.45454545454545	0.5158579999999999
Yell_July18_Site5z_S131_L001_R2								84.43467000608695	43.0	206.79343927980182	164	45.45454545454545	0.5158579999999999
