Sample	Unique Reads	Duplicate Reads
fastp-Yell-July18-Site1J_S99_L001_R1_001	3807.0	4744.0
fastp-Yell-July18-Site1J_S99_L001_R2_001	2860.0	5691.0
fastp-Yell-July18-Site1L_S101_L001_R1_001	7340.0	42425.0
fastp-Yell-July18-Site1L_S101_L001_R2_001	6969.0	42796.0
fastp-Yell-July18-Site1U_S114_L001_R1_001	18345.0	24129.0
fastp-Yell-July18-Site1U_S114_L001_R2_001	19531.0	22943.0
fastp-Yell-July18-Site1a_S83_L001_R1_001	20900.0	199898.0
fastp-Yell-July18-Site1a_S83_L001_R2_001	18236.0	202562.0
fastp-Yell-July18-Site1b_S84_L001_R1_001	20740.0	136714.0
fastp-Yell-July18-Site1b_S84_L001_R2_001	19409.0	138045.0
fastp-Yell-July18-Site1bb_S139_L001_R1_001	18334.0	148571.0
fastp-Yell-July18-Site1bb_S139_L001_R2_001	17923.0	148982.0
fastp-Yell-July18-Site1c_S85_L001_R1_001	15339.0	112767.0
fastp-Yell-July18-Site1c_S85_L001_R2_001	14181.0	113925.0
fastp-Yell-July18-Site1cc_S140_L001_R1_001	30004.0	324008.0
fastp-Yell-July18-Site1cc_S140_L001_R2_001	27490.0	326522.0
fastp-Yell-July18-Site1d_S86_L001_R1_001	19360.0	155676.0
fastp-Yell-July18-Site1d_S86_L001_R2_001	18529.0	156507.0
fastp-Yell-July18-Site1dd_S141_L001_R1_001	31329.0	289900.0
fastp-Yell-July18-Site1dd_S141_L001_R2_001	25350.0	295879.0
fastp-Yell-July18-Site1e_S91_L001_R1_001	5158.0	25514.0
fastp-Yell-July18-Site1e_S91_L001_R2_001	5227.0	25445.0
fastp-Yell-July18-Site1ee_S142_L001_R1_001	25391.0	191560.0
fastp-Yell-July18-Site1ee_S142_L001_R2_001	27585.0	189366.0
fastp-Yell-July18-Site1f_S92_L001_R1_001	19188.0	275699.0
fastp-Yell-July18-Site1f_S92_L001_R2_001	15296.0	279591.0
fastp-Yell-July18-Site1g_S93_L001_R1_001	19513.0	186717.0
fastp-Yell-July18-Site1g_S93_L001_R2_001	19344.0	186886.0
fastp-Yell-July18-Site1h_S94_L001_R1_001	9156.0	63880.0
fastp-Yell-July18-Site1h_S94_L001_R2_001	8945.0	64091.0
fastp-Yell-July18-Site1k_S100_L001_R1_001	14465.0	101068.0
fastp-Yell-July18-Site1k_S100_L001_R2_001	11954.0	103579.0
fastp-Yell-July18-Site1m_S102_L001_R1_001	20189.0	146814.0
fastp-Yell-July18-Site1m_S102_L001_R2_001	17674.0	149329.0
fastp-Yell-July18-Site1n_S103_L001_R1_001	25100.0	214993.0
fastp-Yell-July18-Site1n_S103_L001_R2_001	24615.0	215478.0
fastp-Yell-July18-Site1o_S104_L001_R1_001	24673.0	182554.0
fastp-Yell-July18-Site1o_S104_L001_R2_001	23633.0	183594.0
fastp-Yell-July18-Site1p_S105_L001_R1_001	69057.0	990722.0
fastp-Yell-July18-Site1p_S105_L001_R2_001	70937.0	988842.0
fastp-Yell-July18-Site1q_S106_L001_R1_001	16973.0	134544.0
fastp-Yell-July18-Site1q_S106_L001_R2_001	13821.0	137696.0
fastp-Yell-July18-Site1r_S111_L001_R1_001	14857.0	152399.0
fastp-Yell-July18-Site1r_S111_L001_R2_001	14757.0	152499.0
fastp-Yell-July18-Site1s_S112_L001_R1_001	22653.0	177375.0
fastp-Yell-July18-Site1s_S112_L001_R2_001	21488.0	178540.0
fastp-Yell-July18-Site1t_S113_L001_R1_001	21727.0	176539.0
fastp-Yell-July18-Site1t_S113_L001_R2_001	21368.0	176898.0
fastp-Yell-July18-Site1v_S117_L001_R1_001	17998.0	168259.0
fastp-Yell-July18-Site1v_S117_L001_R2_001	17778.0	168479.0
fastp-Yell-July18-Site1w_S118_L001_R1_001	19032.0	179849.0
fastp-Yell-July18-Site1w_S118_L001_R2_001	17521.0	181360.0
fastp-Yell-July18-Site1y_S120_L001_R1_001	16207.0	140612.0
fastp-Yell-July18-Site1y_S120_L001_R2_001	15908.0	140911.0
fastp-Yell-July18-Site1z_S129_L001_R1_001	14715.0	131146.0
fastp-Yell-July18-Site1z_S129_L001_R2_001	12870.0	132991.0
fastp-Yell-July18-Site5J_S107_L001_R1_001	29.0	41.0
fastp-Yell-July18-Site5J_S107_L001_R2_001	28.0	42.0
fastp-Yell-July18-Site5L_S109_L001_R1_001	19592.0	166430.0
fastp-Yell-July18-Site5L_S109_L001_R2_001	20996.0	165026.0
fastp-Yell-July18-Site5a_S87_L001_R1_001	10384.0	148906.0
fastp-Yell-July18-Site5a_S87_L001_R2_001	11054.0	148236.0
fastp-Yell-July18-Site5aa_S132_L001_R1_001	30754.0	279795.0
fastp-Yell-July18-Site5aa_S132_L001_R2_001	28061.0	282488.0
fastp-Yell-July18-Site5b_S88_L001_R1_001	17007.0	183338.0
fastp-Yell-July18-Site5b_S88_L001_R2_001	19090.0	181255.0
fastp-Yell-July18-Site5bb_S133_L001_R1_001	33323.0	345328.0
fastp-Yell-July18-Site5bb_S133_L001_R2_001	32396.0	346255.0
fastp-Yell-July18-Site5c_S89_L001_R1_001	9817.0	51467.0
fastp-Yell-July18-Site5c_S89_L001_R2_001	8825.0	52459.0
fastp-Yell-July18-Site5cc_S134_L001_R1_001	34098.0	389126.0
fastp-Yell-July18-Site5cc_S134_L001_R2_001	35091.0	388133.0
fastp-Yell-July18-Site5e_S95_L001_R1_001	20730.0	327218.0
fastp-Yell-July18-Site5e_S95_L001_R2_001	16196.0	331752.0
fastp-Yell-July18-Site5ee_S136_L001_R1_001	23162.0	296938.0
fastp-Yell-July18-Site5ee_S136_L001_R2_001	22591.0	297509.0
fastp-Yell-July18-Site5f_S96_L001_R1_001	2825.0	5748.0
fastp-Yell-July18-Site5f_S96_L001_R2_001	2037.0	6536.0
fastp-Yell-July18-Site5ff_S137_L001_R1_001	39811.0	381106.0
fastp-Yell-July18-Site5ff_S137_L001_R2_001	43696.0	377221.0
fastp-Yell-July18-Site5g_S97_L001_R1_001	16476.0	90305.0
fastp-Yell-July18-Site5g_S97_L001_R2_001	20445.0	86336.0
fastp-Yell-July18-Site5h_S98_L001_R1_001	20948.0	354608.0
fastp-Yell-July18-Site5h_S98_L001_R2_001	15512.0	360044.0
fastp-Yell-July18-Site5k_S108_L001_R1_001	8683.0	52496.0
fastp-Yell-July18-Site5k_S108_L001_R2_001	10232.0	50947.0
fastp-Yell-July18-Site5m_S110_L001_R1_001	13646.0	107458.0
fastp-Yell-July18-Site5m_S110_L001_R2_001	14136.0	106968.0
fastp-Yell-July18-Site5n_S115_L001_R1_001	16483.0	93286.0
fastp-Yell-July18-Site5n_S115_L001_R2_001	16601.0	93168.0
fastp-Yell-July18-Site5o_S116_L001_R1_001	13434.0	96188.0
fastp-Yell-July18-Site5o_S116_L001_R2_001	12403.0	97219.0
fastp-Yell-July18-Site5p_S121_L001_R1_001	15754.0	133815.0
fastp-Yell-July18-Site5p_S121_L001_R2_001	16003.0	133566.0
fastp-Yell-July18-Site5q_S122_L001_R1_001	39577.0	117509.0
fastp-Yell-July18-Site5q_S122_L001_R2_001	44367.0	112719.0
fastp-Yell-July18-Site5r_S123_L001_R1_001	20833.0	174898.0
fastp-Yell-July18-Site5r_S123_L001_R2_001	20198.0	175533.0
fastp-Yell-July18-Site5s_S124_L001_R1_001	14663.0	117653.0
fastp-Yell-July18-Site5s_S124_L001_R2_001	17133.0	115183.0
fastp-Yell-July18-Site5u_S126_L001_R1_001	11161.0	75211.0
fastp-Yell-July18-Site5u_S126_L001_R2_001	10669.0	75703.0
fastp-Yell-July18-Site5v_S127_L001_R1_001	10197.0	72477.0
fastp-Yell-July18-Site5v_S127_L001_R2_001	10352.0	72322.0
