Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
Yell_July18_Site1c_S85_L001_R1	(1.0, 9.695414046530496)	(2.0, 3.094231279354627)	(3.0, 1.7577667857755865)	(4.0, 1.3419258195889963)	(5.0, 1.0415528890414594)	(6.0, 0.7957932185934744)	(7.0, 0.7591243153837751)	(8.0, 0.5305288123956498)	(9.0, 0.5125844555057968)	('>10', 9.471499680122333)	('>50', 5.648571473153682)	('>100', 15.766068001310718)	('>500', 12.607861188696615)	('>1k', 22.513926381325387)	('>5k', 5.52686192207468)	('>10k+', 8.936289731146722)
Yell_July18_Site1c_S85_L001_R2	(1.0, 9.44887418665252)	(2.0, 2.446674052459937)	(3.0, 1.3505079033189258)	(4.0, 1.0142462589916832)	(5.0, 0.8309017429431865)	(6.0, 0.6132288919749715)	(7.0, 0.6662817732145365)	(8.0, 0.6491176057546773)	(9.0, 0.449389111676315)	('>10', 9.621296050681105)	('>50', 5.254575811006912)	('>100', 12.439340271817997)	('>500', 7.047451121132211)	('>1k', 21.492658417463762)	('>5k', 7.127810632421553)	('>10k+', 19.54764616848971)
Yell_July18_Site1cc_S140_L001_R1	(1.0, 6.517565751583796)	(2.0, 2.012918816979662)	(3.0, 1.2907524307476879)	(4.0, 0.9259991191715696)	(5.0, 0.8074260612288686)	(6.0, 0.6640091244791255)	(7.0, 0.6462231657877204)	(8.0, 0.5375311960069111)	(9.0, 0.47768003342630966)	('>10', 7.798154777364968)	('>50', 3.804218942328323)	('>100', 13.657640057366773)	('>500', 9.410466048581076)	('>1k', 20.44877079263266)	('>5k', 14.255304732758914)	('>10k+', 16.74533894955563)
Yell_July18_Site1cc_S140_L001_R2	(1.0, 6.49243955597213)	(2.0, 1.8610323760911545)	(3.0, 1.2179146951543143)	(4.0, 0.881957697649995)	(5.0, 0.6944993393786771)	(6.0, 0.5539055706751889)	(7.0, 0.40710083226994004)	(8.0, 0.3478143032985896)	(9.0, 0.3760459837611374)	('>10', 6.386853071042201)	('>50', 3.7980079726265625)	('>100', 11.139656476912132)	('>500', 4.296297132790532)	('>1k', 13.290628211353653)	('>5k', 12.146115885401963)	('>10k+', 36.10973089562183)
Yell_July18_Site1d_S86_L001_R1	(1.0, 9.283907474975875)	(2.0, 2.841301654190292)	(3.0, 1.8106446031827605)	(4.0, 1.3133026134722008)	(5.0, 0.8993267896603114)	(6.0, 0.7502954930880312)	(7.0, 0.7434434794525241)	(8.0, 0.4979129908468518)	(9.0, 0.6320982578755332)	('>10', 8.63125317619382)	('>50', 4.312200581279157)	('>100', 16.36089555818216)	('>500', 12.587149048426607)	('>1k', 14.044914949380749)	('>5k', 9.618514140843141)	('>10k+', 15.672839188949986)
Yell_July18_Site1d_S86_L001_R2	(1.0, 9.344433595422855)	(2.0, 2.528393031502133)	(3.0, 1.5091560032204463)	(4.0, 1.0255180407809013)	(5.0, 0.8650667214827757)	(6.0, 0.6338112612844099)	(7.0, 0.6115422169690118)	(8.0, 0.4796409544854994)	(9.0, 0.38028675677064594)	('>10', 9.581970068120436)	('>50', 5.1572822629917034)	('>100', 11.8202945223861)	('>500', 6.728106388931714)	('>1k', 13.201546271077081)	('>5k', 5.170986290262718)	('>10k+', 30.96196561431157)
Yell_July18_Site1dd_S141_L001_R1	(1.0, 7.741343371807237)	(2.0, 2.3009675512553276)	(3.0, 1.434526957657966)	(4.0, 1.1722614566157483)	(5.0, 0.9022182123635006)	(6.0, 0.7727965653485985)	(7.0, 0.6772858787294279)	(8.0, 0.6346638459384625)	(9.0, 0.5487975608997293)	('>10', 8.700805774196558)	('>50', 4.679090315154156)	('>100', 11.272749898889337)	('>500', 8.933515851040662)	('>1k', 25.103443984693403)	('>5k', 10.400398220452352)	('>10k+', 14.725134554957533)
Yell_July18_Site1dd_S141_L001_R2	(1.0, 6.901969324580779)	(2.0, 1.894036026506549)	(3.0, 1.0929284758734406)	(4.0, 0.7839965155710419)	(5.0, 0.656441526926547)	(6.0, 0.5133310518619917)	(7.0, 0.4616868369473914)	(8.0, 0.3932426966991258)	(9.0, 0.3975982328967427)	('>10', 8.085430731418972)	('>50', 4.752201101328438)	('>100', 12.505988862271721)	('>500', 4.112870609463958)	('>1k', 13.08745294465358)	('>5k', 10.028933204741312)	('>10k+', 34.33189185825841)
Yell_July18_Site1e_S91_L001_R1	(1.0, 13.904631620089896)	(2.0, 3.810826656243893)	(3.0, 2.2278678913425836)	(4.0, 1.7067292033092307)	(5.0, 1.8728421601198622)	(6.0, 1.7783857729138166)	(7.0, 1.2995896032831737)	(8.0, 1.4070744576900527)	(9.0, 1.5536447136994334)	('>10', 23.190671617484206)	('>50', 6.097322649990229)	('>100', 11.149110807113544)	('>500', 4.149566803465572)	('>1k', 25.85173604325451)	('>5k', 0.0)	('>10k+', 0.0)
Yell_July18_Site1e_S91_L001_R2	(1.0, 16.6796951338675)	(2.0, 6.286235424402318)	(3.0, 4.045339065858902)	(4.0, 2.9053481857859422)	(5.0, 2.2311250081427922)	(6.0, 1.6415868673050615)	(7.0, 1.4819881440948472)	(8.0, 0.9119927040583675)	(9.0, 1.0553058432675395)	('>10', 11.797277050355026)	('>50', 4.963846003517687)	('>100', 10.667057520682691)	('>500', 4.354765161878705)	('>1k', 30.978437886782622)	('>5k', 0.0)	('>10k+', 0.0)
