Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
Yell_July18_Site5k_S108_L001_R1	13.417668005398287	50.91461927448334
Yell_July18_Site5k_S108_L001_R2	14.046926066242825	47.22037040048129
Yell_July18_Site5m_S110_L001_R1	16.01062206717963	48.72708379722408
Yell_July18_Site5m_S110_L001_R2	18.798090007174846	46.46082288032855
Yell_July18_Site5n_S115_L001_R1	6.086204542351281	53.89285876837649
Yell_July18_Site5n_S115_L001_R2	14.432661235264668	46.443038550816986
Yell_July18_Site5o_S116_L001_R1	13.079349451190605	53.3010611530467
Yell_July18_Site5o_S116_L001_R2	20.759946030704153	43.899281624913385
Yell_July18_Site5p_S121_L001_R1	13.848453904117362	47.583578612952095
Yell_July18_Site5p_S121_L001_R2	12.350079090162785	51.48535997704049
Yell_July18_Site5q_S122_L001_R1	0.3577419682797885	13.529381862545751
Yell_July18_Site5q_S122_L001_R2	0.42827368849125663	6.640783855225702
Yell_July18_Site5r_S123_L001_R1	8.813316993464053	59.081903594771234
Yell_July18_Site5r_S123_L001_R2	18.550857843137255	48.97926879084967
Yell_July18_Site5s_S124_L001_R1	10.127926950546968	52.87948648404303
Yell_July18_Site5s_S124_L001_R2	12.417502938251515	47.3224241328391
Yell_July18_Site5u_S126_L001_R1	11.501272264631043	51.80198935924127
Yell_July18_Site5u_S126_L001_R2	11.500115660421004	53.54152209114041
Yell_July18_Site5v_S127_L001_R1	9.421121976574115	59.992263897786756
Yell_July18_Site5v_S127_L001_R2	19.3088276178849	46.83605507137763
Yell_July18_Site5w_S128_L001_R1	15.384615384615385	84.61538461538461
Yell_July18_Site5w_S128_L001_R2	15.384615384615385	84.61538461538461
Yell_July18_Site5z_S131_L001_R1	14.232405041697522	35.92364565442428
Yell_July18_Site5z_S131_L001_R2	12.47572006249782	38.55537764268461
